年份,月份,景點人數,月總雨量
2008,1,0,72.0
2008,2,3294,143.0
2008,3,13022,116.0
2008,4,10499,109.0
2008,5,15704,232.5
2008,6,7161,299.0
2008,7,8409,254.0
2008,8,8374,230.5
2008,9,8693,925.5
2008,10,17775,72.0
2008,11,16983,135.5
2008,12,24864,28.5
2009,1,13994,25.5
2009,2,8259,33.5
2009,3,13292,175.0
2009,4,11999,101.0
2009,5,14620,17.0
2009,6,9683,275.5
2009,7,17553,56.0
2009,8,18775,327.5
2009,9,23185,193.0
2009,10,30344,147.5
2009,11,22479,38.0
2009,12,29984,42.5
2010,1,43332,80.5
2010,2,8939,196.0
2010,3,20296,52.0
2010,4,29819,116.5
2010,5,52077,153.5
2010,6,14704,342.0
2010,7,24442,25.5
2010,8,26557,298.0
2010,9,52124,108.5
2010,10,24513,233.0
2010,11,36169,60.0
2010,12,27320,45.5
2011,1,21481,50.0
2011,2,14994,53.0
2011,3,15333,93.0
2011,4,13183,8.0
2011,5,19467,194.0
2011,6,13857,271.5
2011,7,18439,149.5
2011,8,18420,142.5
2011,9,18542,36.0
2011,10,17097,71.0
2011,11,16368,196.5
2011,12,15683,118.0
2012,1,9508,122.0
2012,2,16279,243.0
2012,3,19263,63.0
2012,4,19095,288.5
2012,5,16325,200.0
2012,6,13706,534.5
2012,7,13047,120.5
2012,8,13145,501.5
2012,9,12006,75.0
2012,10,20467,62.0
2012,11,11476,217.5
2012,12,13741,158.5
2013,1,10368,60.0
2013,2,11438,31.5
2013,3,12793,48.5
2013,4,12294,248.5
2013,5,16170,344.0
2013,6,17100,219.5
2013,7,17703,241.5
2013,8,17431,830.5
2013,9,17881,126.0
2013,10,20392,99.5
2013,11,17018,44.0
2013,12,19081,176.0
2014,1,12366,40.0
2014,2,18106,180.5
2014,3,14183,155.5
2014,4,13300,86.0
2014,5,29629,530.5
2014,6,16311,338.5
2014,7,23869,194.5
2014,8,28079,114.0
2014,9,13723,153.0
2014,10,22323,42.0
2014,11,27494,35.5
2014,12,17429,71.0
2015,1,22858,16.0
2015,2,18361,69.0
2015,3,15920,182.0
2015,4,20106,75.0
2015,5,23251,291.5
2015,6,12121,132.0
2015,7,15594,285.0
2015,8,21841,641.5
2015,9,25243,236.5
2015,10,15062,78.5
2015,11,17324,13.0
2015,12,18983,36.5
2016,1,13385,223.0
2016,2,13400,57.5
2016,3,34345,247.0
2016,4,72788,10.5
2016,5,36921,6.0
2016,6,13528,1.0
2016,7,9645,1.0
2016,8,5550,0.0
2016,9,8617,6.5
2016,10,34281,6.0
2016,11,20894,4.5
2016,12,24163,0.0
2017,1,12480,0.5
2017,2,13493,1.0
2017,3,15823,6.5
2017,4,15755,85.0
2017,5,16674,170.5
2017,6,13309,663.0
2017,7,14191,115.0
2017,8,15882,116.5
2017,9,20312,158.5
2017,10,24935,225.5
2017,11,14156,108.5
2017,12,21003,40.0
2018,1,19100,243.5
2018,2,12726,128.0
2018,3,26939,31.5
2018,4,35563,49.5
2018,5,26507,38.5
2018,6,23690,68.5
2018,7,17645,248.0
2018,8,15010,164.5
2018,9,16058,199.0
2018,10,27221,93.0
2018,11,29524,45.5
2018,12,17142,42.0
2019,1,14230,38.5
2019,2,10494,59.5
2019,3,23031,180.0
2019,4,19933,96.5
2019,5,51432,318.0
2019,6,46863,349.0
2019,7,26644,356.0
2019,8,26451,233.5
2019,9,21766,323.0
2019,10,36076,12.5
2019,11,41609,5.0
2019,12,18852,125.0
2020,1,17445,25.5
2020,2,9018,24.5
2020,3,6791,186.5
2020,4,5653,60.5
2020,5,7574,350.5
2020,6,9660,51.0
2020,7,9495,155.0
2020,8,12064,365.5
2020,9,11110,104.0
2020,10,14148,5.5
2020,11,19356,11.0
2020,12,13717,98.0
2021,1,13443,30.0
2021,2,7131,53.0
2021,3,10095,79.0
2021,4,5560,58.5
2021,5,1986,125.0
2021,6,0,282.0
2021,7,3913,331.5
2021,8,9987,359.5
2021,9,8698,129.5
2021,10,12766,201.5
2021,11,14308,63.5
2021,12,19288,33.75
2022,1,15399,104.0
2022,2,7775,210.5
2022,3,11655,167.5
2022,4,12784,81.0
2022,5,6363,489.0
2022,6,9457,228.0
2022,7,10782,81.5
2022,8,9286,118.0
2022,9,9813,216.5
2022,10,11027,352.5
2022,11,10943,125.5
2022,12,27829,51.5
2023,1,10333,13.5
2023,2,13679,33.5
2023,3,17537,21.5
2023,4,18755,101.5
2023,5,24949,170.5
2023,6,15662,345.0
2023,7,34707,121.0
2023,8,21335,361.25
2023,9,12381,66.0
2023,10,20731,70.0
2023,11,13253,15.0
2023,12,13525,83.0
2024,1,13097,28.5
2024,2,11170,36.0
2024,3,15898,98.0
2024,4,16975,177.0
2024,5,15014,114.5
2024,6,21099,151.25
2024,7,14300,268.0
2024,8,18466,242.0
2024,9,12273,381.0
2024,10,14880,229.5
2024,11,33914,35.5
2024,12,18847,16.0
