年份,月份,景點人數,月總雨量
2008,1,28400,136.5
2008,2,24000,165.5
2008,3,21500,132.0
2008,4,24500,203.0
2008,5,24800,303.0
2008,6,20900,276.5
2008,7,18300,222.0
2008,8,29638,98.5
2008,9,16114,1089.0
2008,10,40000,83.0
2008,11,39000,139.0
2008,12,38000,19.0
2009,1,40000,21.0
2009,2,39000,36.0
2009,3,40000,178.0
2009,4,42000,108.5
2009,5,38000,10.5
2009,6,40000,254.5
2009,7,39000,5.0
2009,8,40000,8.5
2009,9,39000,199.5
2009,10,40000,134.5
2009,11,45000,29.5
2009,12,186905,34.5
2010,1,153274,76.0
2010,2,101212,178.5
2010,3,136206,44.0
2010,4,123798,104.5
2010,5,124113,166.5
2010,6,119841,333.0
2010,7,101525,26.0
2010,8,58293,294.0
2010,9,97477,95.5
2010,10,118516,198.0
2010,11,128454,35.0
2010,12,138087,38.0
2011,1,101393,41.0
2011,2,116491,46.5
2011,3,120280,75.5
2011,4,124036,8.0
2011,5,103751,161.0
2011,6,112213,249.0
2011,7,145006,72.5
2011,8,159451,83.0
2011,9,150632,17.0
2011,10,169215,71.0
2011,11,186199,164.5
2011,12,134958,89.5
2012,1,108787,101.0
2012,2,116586,200.0
2012,3,139661,63.5
2012,4,132964,340.0
2012,5,114141,220.5
2012,6,103061,498.5
2012,7,95867,65.5
2012,8,124398,482.5
2012,9,119965,95.5
2012,10,151068,52.0
2012,11,141264,202.5
2012,12,125377,140.5
2013,1,141196,43.0
2013,2,137904,27.0
2013,3,124490,45.5
2013,4,131826,230.5
2013,5,142148,361.5
2013,6,116191,116.5
2013,7,123377,218.0
2013,8,143294,792.5
2013,9,144485,112.0
2013,10,176697,132.5
2013,11,187125,38.5
2013,12,168160,140.5
2014,1,148635,10.5
2014,2,147126,171.5
2014,3,168305,134.0
2014,4,147378,76.5
2014,5,146162,539.0
2014,6,142933,309.0
2014,7,127652,152.5
2014,8,119454,134.5
2014,9,118080,119.0
2014,10,126897,51.5
2014,11,114986,26.5
2014,12,84248,59.5
2015,1,106319,18.5
2015,2,89861,57.5
2015,3,106576,163.5
2015,4,120764,72.0
2015,5,153318,233.0
2015,6,140778,88.0
2015,7,141266,262.5
2015,8,142807,539.0
2015,9,145619,274.0
2015,10,161528,57.0
2015,11,163462,8.5
2015,12,162237,38.0
2016,1,129154,214.5
2016,2,126586,52.5
2016,3,149169,225.5
2016,4,135099,15.5
2016,5,137916,4.5
2016,6,128630,1.0
2016,7,131095,0.0
2016,8,156675,0.0
2016,9,136197,9.5
2016,10,151967,2.0
2016,11,122347,3.5
2016,12,120945,0.0
2017,1,100242,1.0
2017,2,133249,1.0
2017,3,175605,4.5
2017,4,160725,56.0
2017,5,165910,206.0
2017,6,155400,686.0
2017,7,138643,117.0
2017,8,142142,41.5
2017,9,128407,18.0
2017,10,154435,179.5
2017,11,168572,101.0
2017,12,161406,33.0
2018,1,140058,245.0
2018,2,124122,92.5
2018,3,160979,29.0
2018,4,132435,65.0
2018,5,140345,39.5
2018,6,137269,47.5
2018,7,115837,215.5
2018,8,129310,238.0
2018,9,124396,233.0
2018,10,153259,79.0
2018,11,162360,39.5
2018,12,148495,41.5
2019,1,127997,36.5
2019,2,128800,56.5
2019,3,156837,162.0
2019,4,137043,102.5
2019,5,134097,311.5
2019,6,117954,399.5
2019,7,130217,322.5
2019,8,138062,227.5
2019,9,109130,377.0
2019,10,150100,11.5
2019,11,155533,5.0
2019,12,152725,111.0
2020,1,87082,33.5
2020,2,57070,30.0
2020,3,1905,157.5
2020,4,1193,53.5
2020,5,1520,332.5
2020,6,2580,71.0
2020,7,2428,129.0
2020,8,2493,511.5
2020,9,918,114.0
2020,10,2773,4.5
2020,11,2014,11.0
2020,12,4380,77.0
2021,1,2636,23.0
2021,2,1592,49.5
2021,3,2025,91.5
2021,4,1757,49.5
2021,5,896,128.5
2021,6,0,267.0
2021,7,43,425.0
2021,8,765,270.5
2021,9,779,90.5
2021,10,1836,157.0
2021,11,1637,42.0
2021,12,3502,34.0
2022,1,1500,92.5
2022,2,2015,178.0
2022,3,1399,166.0
2022,4,1779,68.0
2022,5,1482,453.0
2022,6,1300,234.5
2022,7,1712,80.0
2022,8,1959,93.5
2022,9,2243,254.5
2022,10,2177,277.5
2022,11,2273,108.0
2022,12,2620,38.5
2023,1,2739,13.0
2023,2,12748,33.0
2023,3,19952,19.5
2023,4,36201,95.5
2023,5,38870,174.5
2023,6,29443,327.5
2023,7,31716,164.0
2023,8,39452,398.0
2023,9,38625,61.0
2023,10,48870,58.5
2023,11,65454,12.0
2023,12,72727,68.5
2024,1,29716,25.0
2024,2,33543,29.5
2024,3,63955,95.0
2024,4,60946,163.5
2024,5,64897,109.0
2024,6,49190,134.5
2024,7,38063,237.0
2024,8,48422,158.0
2024,9,41590,369.5
2024,10,37715,230.0
2024,11,46141,20.0
2024,12,34292,14.5
