年份,月份,景點人數,月總雨量
2008,1,70606,101.0
2008,2,138663,148.0
2008,3,98548,121.0
2008,4,76284,102.0
2008,5,83456,345.5
2008,6,60005,455.5
2008,7,91613,233.0
2008,8,99643,189.0
2008,9,65551,1231.5
2008,10,102359,95.5
2008,11,108359,200.5
2008,12,97363,43.5
2009,1,100507,76.0
2009,2,137879,40.0
2009,3,134908,188.0
2009,4,160008,99.0
2009,5,193615,20.0
2009,6,97046,360.5
2009,7,141149,176.5
2009,8,150192,307.5
2009,9,220521,204.5
2009,10,260306,304.5
2009,11,132660,57.5
2009,12,122461,71.0
2010,1,167925,98.5
2010,2,186753,219.5
2010,3,179760,33.0
2010,4,209265,93.5
2010,5,246454,174.0
2010,6,285222,387.5
2010,7,375085,218.5
2010,8,419437,310.0
2010,9,223632,167.5
2010,10,391391,373.0
2010,11,261584,82.0
2010,12,392631,68.0
2011,1,440173,91.5
2011,2,1221638,61.5
2011,3,516144,114.5
2011,4,266184,10.0
2011,5,218544,225.5
2011,6,594751,271.0
2011,7,236436,203.5
2011,8,568536,268.5
2011,9,514929,83.5
2011,10,246600,145.0
2011,11,210292,221.0
2011,12,659522,179.0
2012,1,621498,164.5
2012,2,7248128,298.0
2012,3,575924,91.5
2012,4,735666,300.0
2012,5,744047,211.0
2012,6,763464,731.5
2012,7,780787,215.5
2012,8,807336,501.5
2012,9,470551,118.5
2012,10,666502,59.0
2012,11,672478,215.5
2012,12,883154,182.0
2013,1,584810,102.5
2013,2,540307,32.5
2013,3,581583,34.5
2013,4,745653,226.0
2013,5,679983,362.5
2013,6,575310,142.5
2013,7,688101,270.5
2013,8,694394,649.0
2013,9,581589,276.0
2013,10,540200,107.5
2013,11,635299,59.5
2013,12,615442,262.0
2014,1,601739,24.5
2014,2,510708,250.0
2014,3,615339,121.5
2014,4,599778,94.0
2014,5,582176,642.5
2014,6,555850,467.0
2014,7,572168,284.0
2014,8,552793,201.5
2014,9,510916,208.0
2014,10,563163,47.0
2014,11,559598,69.5
2014,12,655859,104.0
2015,1,0,21.0
2015,2,517386,86.5
2015,3,557120,184.0
2015,4,605692,87.0
2015,5,583729,330.0
2015,6,470323,348.0
2015,7,689455,211.0
2015,8,510527,836.5
2015,9,456150,379.5
2015,10,534611,167.0
2015,11,493676,25.0
2015,12,618519,46.0
2016,1,549706,247.0
2016,2,471459,99.0
2016,3,533330,283.5
2016,4,525131,22.5
2016,5,515992,7.0
2016,6,510542,1.5
2016,7,543584,2.5
2016,8,536210,0.0
2016,9,470916,13.5
2016,10,511332,9.5
2016,11,467952,2.5
2016,12,610518,0.5
2017,1,493736,1.5
2017,2,401676,6.0
2017,3,382513,5.5
2017,4,417041,84.0
2017,5,386749,139.0
2017,6,418381,747.5
2017,7,416610,241.5
2017,8,479505,120.0
2017,9,368538,220.5
2017,10,448353,534.0
2017,11,435444,106.0
2017,12,604810,77.5
2018,1,385782,244.5
2018,2,374768,170.0
2018,3,346417,36.0
2018,4,462725,58.5
2018,5,424895,58.5
2018,6,398624,73.5
2018,7,342995,165.0
2018,8,350280,183.5
2018,9,292670,277.5
2018,10,355690,127.0
2018,11,362865,66.0
2018,12,411185,89.0
2019,1,389490,69.0
2019,2,332175,65.0
2019,3,416210,173.0
2019,4,439080,126.5
2019,5,489900,298.5
2019,6,437930,352.5
2019,7,427510,372.5
2019,8,410440,185.0
2019,9,267845,520.0
2019,10,360215,23.5
2019,11,331495,35.5
2019,12,413595,142.0
2020,1,249200,33.0
2020,2,179465,34.5
2020,3,154290,267.0
2020,4,96400,79.0
2020,5,109475,466.5
2020,6,118575,134.0
2020,7,171490,247.0
2020,8,184000,321.0
2020,9,172950,127.5
2020,10,260525,65.0
2020,11,197590,53.0
2020,12,199090,253.5
2021,1,169615,71.5
2021,2,142825,67.5
2021,3,149890,77.0
2021,4,169285,56.5
2021,5,98845,180.5
2021,6,14595,377.5
2021,7,25375,251.0
2021,8,42300,343.0
2021,9,74500,156.5
2021,10,110240,277.0
2021,11,145390,82.5
2021,12,225800,60.5
2022,1,134575,129.0
2022,2,96490,259.0
2022,3,130975,201.75
2022,4,116075,109.0
2022,5,75195,464.5
2022,6,87180,228.0
2022,7,156250,159.0
2022,8,131410,183.0
2022,9,109880,329.5
2022,10,149160,636.5
2022,11,154050,113.5
2022,12,264495,122.0
2023,1,161860,37.0
2023,2,6337840,43.0
2023,3,187925,25.0
2023,4,218180,95.5
2023,5,185810,218.5
2023,6,154085,277.0
2023,7,177580,114.0
2023,8,179220,340.0
2023,9,165215,164.0
2023,10,279580,165.5
2023,11,221165,35.0
2023,12,330370,93.0
2024,1,194610,55.0
2024,2,126280,44.5
2024,3,122465,115.0
2024,4,60345,189.5
2024,5,74750,111.5
2024,6,59060,346.5
2024,7,60200,224.0
2024,8,61765,183.0
2024,9,70200,355.0
2024,10,152675,694.0
2024,11,98835,76.5
2024,12,205525,29.0
