年份,月份,景點人數,月總雨量
2008,1,192069,71.5
2008,2,265051,112.5
2008,3,153994,98.0
2008,4,129149,131.0
2008,5,151272,226.0
2008,6,168512,286.5
2008,7,209679,192.0
2008,8,255068,102.5
2008,9,114367,1208.0
2008,10,208563,105.5
2008,11,208270,237.5
2008,12,188290,19.5
2009,1,202013,26.5
2009,2,163287,35.0
2009,3,232007,153.5
2009,4,261060,101.5
2009,5,227480,8.5
2009,6,147799,246.0
2009,7,205593,145.5
2009,8,214893,319.5
2009,9,168281,240.0
2009,10,228674,187.0
2009,11,255355,39.5
2009,12,268362,30.5
2010,1,230398,64.5
2010,2,245416,166.0
2010,3,296234,40.5
2010,4,307094,108.0
2010,5,321709,170.5
2010,6,243370,431.0
2010,7,292982,47.5
2010,8,316157,397.0
2010,9,246015,165.0
2010,10,298117,404.5
2010,11,331855,62.5
2010,12,311901,48.5
2011,1,258191,41.0
2011,2,291182,43.0
2011,3,303435,72.0
2011,4,356119,7.0
2011,5,328895,213.5
2011,6,251374,319.0
2011,7,355498,71.5
2011,8,347995,148.5
2011,9,253090,29.0
2011,10,331835,176.5
2011,11,381051,192.5
2011,12,390912,93.5
2012,1,298037,94.5
2012,2,329963,193.0
2012,3,426229,56.5
2012,4,464262,332.5
2012,5,421357,215.5
2012,6,309928,445.0
2012,7,375416,72.5
2012,8,367686,657.0
2012,9,279346,154.0
2012,10,345925,58.0
2012,11,370956,189.0
2012,12,371710,140.0
2013,1,304278,47.5
2013,2,324931,26.5
2013,3,388409,50.0
2013,4,396625,229.0
2013,5,333495,334.5
2013,6,338163,84.5
2013,7,397836,103.5
2013,8,472754,638.5
2013,9,376983,182.0
2013,10,359249,163.5
2013,11,410667,29.0
2013,12,397288,77.0
2014,1,389257,6.0
2014,2,458965,62.5
2014,3,505251,54.0
2014,4,507282,100.5
2014,5,496465,505.0
2014,6,408086,278.0
2014,7,428610,195.0
2014,8,453959,119.5
2014,9,384277,156.0
2014,10,458793,61.5
2014,11,448495,33.0
2014,12,462885,49.5
2015,1,482236,17.5
2015,2,533567,48.5
2015,3,441972,124.0
2015,4,406013,57.0
2015,5,459271,225.0
2015,6,365835,100.0
2015,7,429725,315.0
2015,8,465433,546.5
2015,9,333224,169.5
2015,10,486151,45.0
2015,11,455457,20.5
2015,12,428983,32.5
2016,1,447514,174.5
2016,2,466023,42.0
2016,3,462046,170.5
2016,4,438172,9.5
2016,5,423639,4.0
2016,6,356769,1.5
2016,7,411514,0.5
2016,8,402433,0.0
2016,9,243479,9.0
2016,10,341266,4.5
2016,11,329451,1.5
2016,12,343419,0.5
2017,1,334485,0.0
2017,2,318772,1.0
2017,3,310789,1.0
2017,4,351929,28.5
2017,5,369998,204.0
2017,6,320848,667.0
2017,7,424706,125.5
2017,8,431185,33.5
2017,9,264756,168.5
2017,10,386268,369.0
2017,11,429425,119.5
2017,12,467762,47.0
2018,1,421459,229.5
2018,2,408214,103.5
2018,3,291705,25.0
2018,4,270188,70.5
2018,5,259052,41.0
2018,6,248363,70.5
2018,7,286991,147.5
2018,8,338580,285.0
2018,9,268250,430.5
2018,10,343294,88.5
2018,11,351268,36.0
2018,12,373280,51.5
2019,1,370990,36.5
2019,2,407593,52.0
2019,3,366684,158.5
2019,4,340563,108.0
2019,5,352990,307.0
2019,6,292033,402.5
2019,7,338031,328.5
2019,8,354840,263.5
2019,9,191623,548.0
2019,10,266119,26.5
2019,11,276443,29.0
2019,12,274464,120.5
2020,1,207677,29.0
2020,2,62144,26.5
2020,3,15436,137.0
2020,4,10141,50.0
2020,5,20489,359.5
2020,6,30693,83.5
2020,7,51837,102.5
2020,8,59923,448.5
2020,9,35828,201.5
2020,10,58803,44.0
2020,11,43382,42.5
2020,12,45810,150.5
2021,1,44342,34.0
2021,2,53268,69.0
2021,3,33743,83.5
2021,4,57620,45.0
2021,5,19077,161.0
2021,6,0,278.5
2021,7,2891,385.5
2021,8,18740,266.0
2021,9,19855,135.5
2021,10,70089,191.5
2021,11,62295,35.75
2021,12,34916,18.25
2022,1,34727,99.5
2022,2,37931,190.0
2022,3,32976,154.0
2022,4,25908,83.0
2022,5,16461,446.5
2022,6,28804,204.5
2022,7,69660,132.0
2022,8,70950,104.5
2022,9,42339,444.5
2022,10,64834,446.5
2022,11,57755,121.0
2022,12,74943,62.0
2023,1,103511,12.5
2023,2,98055,46.5
2023,3,99299,25.5
2023,4,125817,98.5
2023,5,107071,174.0
2023,6,116323,307.0
2023,7,137895,127.5
2023,8,143101,446.5
2023,9,118554,115.0
2023,10,167379,133.5
2023,11,158383,14.0
2023,12,176802,75.0
2024,1,159124,23.0
2024,2,160560,28.5
2024,3,171660,109.5
2024,4,134904,164.5
2024,5,138863,120.5
2024,6,132141,185.25
2024,7,135498,358.0
2024,8,161104,214.0
2024,9,133433,453.5
2024,10,160396,422.5
2024,11,180629,51.0
2024,12,206682,16.5
