年份,月份,景點人數,月總雨量
2008,1,15574,72.0
2008,2,16769,143.0
2008,3,21853,116.0
2008,4,18720,109.0
2008,5,22727,232.5
2008,6,179338,299.0
2008,7,259823,254.0
2008,8,318814,230.5
2008,9,91322,925.5
2008,10,17608,72.0
2008,11,20641,135.5
2008,12,45562,28.5
2009,1,113477,25.5
2009,2,137056,33.5
2009,3,72197,175.0
2009,4,25229,101.0
2009,5,33149,17.0
2009,6,34289,275.5
2009,7,79001,56.0
2009,8,75540,327.5
2009,9,48773,193.0
2009,10,21357,147.5
2009,11,11658,38.0
2009,12,92387,42.5
2010,1,103543,80.5
2010,2,117566,196.0
2010,3,132838,52.0
2010,4,23877,116.5
2010,5,14893,153.5
2010,6,35126,342.0
2010,7,58822,25.5
2010,8,60941,298.0
2010,9,38224,108.5
2010,10,20969,233.0
2010,11,22622,60.0
2010,12,26261,45.5
2011,1,14631,50.0
2011,2,66195,53.0
2011,3,42589,93.0
2011,4,80254,8.0
2011,5,28969,194.0
2011,6,42978,271.5
2011,7,117109,149.5
2011,8,147620,142.5
2011,9,133028,36.0
2011,10,13326,71.0
2011,11,16705,196.5
2011,12,29503,118.0
2012,1,58455,122.0
2012,2,84334,243.0
2012,3,57565,63.0
2012,4,22191,288.5
2012,5,13610,200.0
2012,6,44284,534.5
2012,7,123676,120.5
2012,8,109661,501.5
2012,9,64351,75.0
2012,10,34734,62.0
2012,11,38966,217.5
2012,12,58326,158.5
2013,1,41224,60.0
2013,2,64728,31.5
2013,3,53382,48.5
2013,4,72681,248.5
2013,5,63243,344.0
2013,6,34300,219.5
2013,7,40768,241.5
2013,8,45077,830.5
2013,9,49175,126.0
2013,10,24644,99.5
2013,11,36753,44.0
2013,12,61336,176.0
2014,1,78062,40.0
2014,2,97474,180.5
2014,3,15385,155.5
2014,4,8894,86.0
2014,5,1310,530.5
2014,6,0,338.5
2014,7,31702,194.5
2014,8,41384,114.0
2014,9,25329,153.0
2014,10,21011,42.0
2014,11,17534,35.5
2014,12,20186,71.0
2015,1,17594,16.0
2015,2,18065,69.0
2015,3,20120,182.0
2015,4,12286,75.0
2015,5,16503,291.5
2015,6,16026,132.0
2015,7,24435,285.0
2015,8,20809,641.5
2015,9,12615,236.5
2015,10,12992,78.5
2015,11,14357,13.0
2015,12,10972,36.5
2016,1,31337,223.0
2016,2,25507,57.5
2016,3,24986,247.0
2016,4,25736,10.5
2016,5,15524,6.0
2016,6,14263,1.0
2016,7,25831,1.0
2016,8,28868,0.0
2016,9,22243,6.5
2016,10,20187,6.0
2016,11,38086,4.5
2016,12,58392,0.0
2017,1,46235,0.5
2017,2,54910,1.0
2017,3,24519,6.5
2017,4,39831,85.0
2017,5,39125,170.5
2017,6,43468,663.0
2017,7,45240,115.0
2017,8,28157,116.5
2017,9,21925,158.5
2017,10,16109,225.5
2017,11,19444,108.5
2017,12,11908,40.0
2018,1,22732,243.5
2018,2,12409,128.0
2018,3,12110,31.5
2018,4,37647,49.5
2018,5,16977,38.5
2018,6,29475,68.5
2018,7,16143,248.0
2018,8,11718,164.5
2018,9,6905,199.0
2018,10,11044,93.0
2018,11,7740,45.5
2018,12,2631,42.0
2019,1,0,38.5
2019,2,4441,59.5
2019,3,9761,180.0
2019,4,361613,96.5
2019,5,359689,318.0
2019,6,255642,349.0
2019,7,172933,356.0
2019,8,86990,233.5
2019,9,63898,323.0
2019,10,34642,12.5
2019,11,24538,5.0
2019,12,41679,125.0
2020,1,41164,25.5
2020,2,21817,24.5
2020,3,10297,186.5
2020,4,15191,60.5
2020,5,63916,350.5
2020,6,127552,51.0
2020,7,96024,155.0
2020,8,218084,365.5
2020,9,190188,104.0
2020,10,246018,5.5
2020,11,138948,11.0
2020,12,118501,98.0
2021,1,173973,30.0
2021,2,266892,53.0
2021,3,120588,79.0
2021,4,151745,58.5
2021,5,51642,125.0
2021,6,0,282.0
2021,7,2815,331.5
2021,8,56860,359.5
2021,9,86984,129.5
2021,10,167844,201.5
2021,11,136423,63.5
2021,12,110530,33.75
2022,1,92778,104.0
2022,2,119651,210.5
2022,3,57085,167.5
2022,4,83075,81.0
2022,5,62618,489.0
2022,6,78667,228.0
2022,7,124667,81.5
2022,8,90229,118.0
2022,9,81752,216.5
2022,10,135236,352.5
2022,11,112355,125.5
2022,12,82140,51.5
2023,1,64519,13.5
2023,2,40238,33.5
2023,3,31776,21.5
2023,4,57476,101.5
2023,5,82523,170.5
2023,6,187182,345.0
2023,7,290778,121.0
2023,8,204936,361.25
2023,9,91447,66.0
2023,10,98719,70.0
2023,11,121010,15.0
2023,12,134908,83.0
2024,1,106821,28.5
2024,2,7642,36.0
2024,3,16805,98.0
2024,4,20345,177.0
2024,5,40053,114.5
2024,6,19928,151.25
2024,7,19639,268.0
2024,8,19752,242.0
2024,9,9602,381.0
2024,10,12913,229.5
2024,11,17942,35.5
2024,12,15917,16.0
