年份,月份,景點人數,月總雨量
2008,1,88009,136.5
2008,2,123811,165.5
2008,3,82989,132.0
2008,4,77176,203.0
2008,5,72094,303.0
2008,6,56864,276.5
2008,7,132775,222.0
2008,8,130000,98.5
2008,9,31122,1089.0
2008,10,72462,83.0
2008,11,86793,139.0
2008,12,62790,19.0
2009,1,51979,21.0
2009,2,46189,36.0
2009,3,58886,178.0
2009,4,49103,108.5
2009,5,41757,10.5
2009,6,30983,254.5
2009,7,90794,5.0
2009,8,107304,8.5
2009,9,36761,199.5
2009,10,49842,134.5
2009,11,61341,29.5
2009,12,64811,34.5
2010,1,37438,76.0
2010,2,49732,178.5
2010,3,35196,44.0
2010,4,60830,104.5
2010,5,60569,166.5
2010,6,98724,333.0
2010,7,411508,26.0
2010,8,422237,294.0
2010,9,167890,95.5
2010,10,155821,198.0
2010,11,88451,35.0
2010,12,69678,38.0
2011,1,111042,41.0
2011,2,206764,46.5
2011,3,279963,75.5
2011,4,459476,8.0
2011,5,351409,161.0
2011,6,163709,249.0
2011,7,440827,72.5
2011,8,258096,83.0
2011,9,117315,17.0
2011,10,99625,71.0
2011,11,165626,164.5
2011,12,211004,89.5
2012,1,314408,101.0
2012,2,244453,200.0
2012,3,98033,63.5
2012,4,143329,340.0
2012,5,192393,220.5
2012,6,131550,498.5
2012,7,322254,65.5
2012,8,227673,482.5
2012,9,83024,95.5
2012,10,103668,52.0
2012,11,225954,202.5
2012,12,234988,140.5
2013,1,205389,43.0
2013,2,293358,27.0
2013,3,100381,45.5
2013,4,159628,230.5
2013,5,130327,361.5
2013,6,170787,116.5
2013,7,284880,218.0
2013,8,332002,792.5
2013,9,107545,112.0
2013,10,112393,132.5
2013,11,182259,38.5
2013,12,123501,140.5
2014,1,185372,10.5
2014,2,187835,171.5
2014,3,147446,134.0
2014,4,251781,76.5
2014,5,120630,539.0
2014,6,198564,309.0
2014,7,439408,152.5
2014,8,393563,134.5
2014,9,96893,119.0
2014,10,109383,51.5
2014,11,81796,26.5
2014,12,113938,59.5
2015,1,199654,18.5
2015,2,336397,57.5
2015,3,174773,163.5
2015,4,136922,72.0
2015,5,151755,233.0
2015,6,165652,88.0
2015,7,338050,262.5
2015,8,348609,539.0
2015,9,124376,274.0
2015,10,121870,57.0
2015,11,112112,8.5
2015,12,227705,38.0
2016,1,396445,214.5
2016,2,461999,52.5
2016,3,144773,225.5
2016,4,165456,15.5
2016,5,194883,4.5
2016,6,220186,1.0
2016,7,328346,0.0
2016,8,377741,0.0
2016,9,158874,9.5
2016,10,146112,2.0
2016,11,177655,3.5
2016,12,184440,0.0
2017,1,187075,1.0
2017,2,212926,1.0
2017,3,173452,4.5
2017,4,317900,56.0
2017,5,313367,206.0
2017,6,170077,686.0
2017,7,417942,117.0
2017,8,395504,41.5
2017,9,188831,18.0
2017,10,178302,179.5
2017,11,143097,101.0
2017,12,170888,33.0
2018,1,203148,245.0
2018,2,276567,92.5
2018,3,25705,29.0
2018,4,34219,65.0
2018,5,22534,39.5
2018,6,101957,47.5
2018,7,336569,215.5
2018,8,365712,238.0
2018,9,255152,233.0
2018,10,126767,79.0
2018,11,147813,39.5
2018,12,159232,41.5
2019,1,174599,36.5
2019,2,170695,56.5
2019,3,220887,162.0
2019,4,173365,102.5
2019,5,159213,311.5
2019,6,249763,399.5
2019,7,561883,322.5
2019,8,413667,227.5
2019,9,212570,377.0
2019,10,187712,11.5
2019,11,224782,5.0
2019,12,251625,111.0
2020,1,234135,33.5
2020,2,119748,30.0
2020,3,11962,157.5
2020,4,4867,53.5
2020,5,96,332.5
2020,6,3300,71.0
2020,7,110512,129.0
2020,8,258390,511.5
2020,9,134732,114.0
2020,10,116873,4.5
2020,11,38363,11.0
2020,12,49367,77.0
2021,1,121528,23.0
2021,2,171623,49.5
2021,3,104862,91.5
2021,4,113748,49.5
2021,5,65807,128.5
2021,6,22520,267.0
2021,7,40689,425.0
2021,8,32977,270.5
2021,9,45210,90.5
2021,10,101304,157.0
2021,11,153282,42.0
2021,12,184900,34.0
2022,1,161689,92.5
2022,2,184150,178.0
2022,3,229376,166.0
2022,4,122133,68.0
2022,5,78862,453.0
2022,6,101808,234.5
2022,7,153264,80.0
2022,8,273045,93.5
2022,9,114914,254.5
2022,10,107111,277.5
2022,11,177356,108.0
2022,12,174796,38.5
2023,1,199775,13.0
2023,2,223609,33.0
2023,3,97228,19.5
2023,4,180828,95.5
2023,5,102127,174.5
2023,6,169510,327.5
2023,7,410574,164.0
2023,8,368104,398.0
2023,9,142401,61.0
2023,10,174028,58.5
2023,11,257715,12.0
2023,12,141638,68.5
2024,1,154697,25.0
2024,2,181223,29.5
2024,3,162113,95.0
2024,4,207857,163.5
2024,5,151561,109.0
2024,6,237310,134.5
2024,7,582179,237.0
2024,8,464781,158.0
2024,9,286324,369.5
2024,10,209710,230.0
2024,11,189353,20.0
2024,12,153273,14.5
