年份,月份,景點人數,月總雨量
2008,1,23781,72.0
2008,2,23112,143.0
2008,3,25817,116.0
2008,4,21367,109.0
2008,5,30024,232.5
2008,6,34496,299.0
2008,7,37412,254.0
2008,8,44523,230.5
2008,9,21937,925.5
2008,10,28772,72.0
2008,11,31132,135.5
2008,12,24041,28.5
2009,1,23336,25.5
2009,2,25220,33.5
2009,3,24512,175.0
2009,4,27361,101.0
2009,5,30244,17.0
2009,6,27378,275.5
2009,7,35108,56.0
2009,8,24424,327.5
2009,9,21137,193.0
2009,10,18899,147.5
2009,11,26071,38.0
2009,12,23994,42.5
2010,1,20655,80.5
2010,2,27966,196.0
2010,3,22701,52.0
2010,4,28388,116.5
2010,5,27446,153.5
2010,6,23322,342.0
2010,7,32452,25.5
2010,8,25985,298.0
2010,9,20979,108.5
2010,10,34406,233.0
2010,11,24076,60.0
2010,12,19391,45.5
2011,1,20010,50.0
2011,2,20400,53.0
2011,3,23611,93.0
2011,4,25843,8.0
2011,5,28815,194.0
2011,6,23450,271.5
2011,7,25027,149.5
2011,8,18790,142.5
2011,9,20307,36.0
2011,10,27123,71.0
2011,11,24060,196.5
2011,12,26673,118.0
2012,1,22999,122.0
2012,2,27446,243.0
2012,3,24788,63.0
2012,4,30345,288.5
2012,5,25663,200.0
2012,6,20193,534.5
2012,7,25380,120.5
2012,8,15483,501.5
2012,9,22482,75.0
2012,10,40317,62.0
2012,11,25218,217.5
2012,12,24225,158.5
2013,1,30161,60.0
2013,2,35498,31.5
2013,3,31061,48.5
2013,4,29447,248.5
2013,5,30424,344.0
2013,6,29643,219.5
2013,7,26092,241.5
2013,8,24951,830.5
2013,9,26480,126.0
2013,10,35695,99.5
2013,11,19518,44.0
2013,12,30515,176.0
2014,1,31723,40.0
2014,2,30119,180.5
2014,3,19568,155.5
2014,4,21304,86.0
2014,5,26616,530.5
2014,6,25051,338.5
2014,7,27571,194.5
2014,8,29606,114.0
2014,9,28755,153.0
2014,10,33272,42.0
2014,11,29280,35.5
2014,12,28707,71.0
2015,1,32605,16.0
2015,2,26628,69.0
2015,3,29459,182.0
2015,4,30601,75.0
2015,5,33431,291.5
2015,6,19764,132.0
2015,7,26673,285.0
2015,8,28614,641.5
2015,9,40681,236.5
2015,10,46089,78.5
2015,11,33734,13.0
2015,12,42569,36.5
2016,1,19560,223.0
2016,2,33048,57.5
2016,3,38076,247.0
2016,4,43729,10.5
2016,5,39019,6.0
2016,6,30978,1.0
2016,7,38298,1.0
2016,8,40945,0.0
2016,9,35209,6.5
2016,10,39410,6.0
2016,11,43319,4.5
2016,12,50035,0.0
2017,1,39348,0.5
2017,2,39508,1.0
2017,3,45138,6.5
2017,4,50022,85.0
2017,5,33078,170.5
2017,6,13099,663.0
2017,7,22399,115.0
2017,8,17432,116.5
2017,9,17770,158.5
2017,10,20267,225.5
2017,11,20809,108.5
2017,12,18212,40.0
2018,1,20383,243.5
2018,2,21779,128.0
2018,3,24674,31.5
2018,4,40445,49.5
2018,5,19135,38.5
2018,6,18115,68.5
2018,7,25399,248.0
2018,8,21060,164.5
2018,9,17580,199.0
2018,10,18865,93.0
2018,11,27135,45.5
2018,12,24960,42.0
2019,1,31653,38.5
2019,2,25186,59.5
2019,3,23877,180.0
2019,4,36932,96.5
2019,5,21640,318.0
2019,6,24520,349.0
2019,7,34826,356.0
2019,8,30664,233.5
2019,9,23137,323.0
2019,10,25060,12.5
2019,11,29365,5.0
2019,12,21735,125.0
2020,1,30701,25.5
2020,2,21757,24.5
2020,3,16689,186.5
2020,4,15777,60.5
2020,5,18604,350.5
2020,6,23597,51.0
2020,7,29547,155.0
2020,8,30040,365.5
2020,9,25112,104.0
2020,10,21128,5.5
2020,11,24567,11.0
2020,12,22711,98.0
2021,1,28728,30.0
2021,2,20848,53.0
2021,3,26692,79.0
2021,4,31711,58.5
2021,5,11514,125.0
2021,6,0,282.0
2021,7,2048,331.5
2021,8,11114,359.5
2021,9,17714,129.5
2021,10,16613,201.5
2021,11,19110,63.5
2021,12,16478,33.75
2022,1,21610,104.0
2022,2,22000,210.5
2022,3,27909,167.5
2022,4,30898,81.0
2022,5,20521,489.0
2022,6,23917,228.0
2022,7,58128,81.5
2022,8,44954,118.0
2022,9,32687,216.5
2022,10,14871,352.5
2022,11,32918,125.5
2022,12,23822,51.5
2023,1,32807,13.5
2023,2,32677,33.5
2023,3,31553,21.5
2023,4,42456,101.5
2023,5,28666,170.5
2023,6,26567,345.0
2023,7,38333,121.0
2023,8,35979,361.25
2023,9,29995,66.0
2023,10,35607,70.0
2023,11,44873,15.0
2023,12,31377,83.0
2024,1,41412,28.5
2024,2,36789,36.0
2024,3,27755,98.0
2024,4,30289,177.0
2024,5,42459,114.5
2024,6,32145,151.25
2024,7,28346,268.0
2024,8,43168,242.0
2024,9,31172,381.0
2024,10,27900,229.5
2024,11,24935,35.5
2024,12,29339,16.0
