年份,月份,景點人數,月總雨量
2008,1,0,79.5
2008,2,0,142.5
2008,3,0,70.0
2008,4,0,156.5
2008,5,0,247.5
2008,6,0,224.0
2008,7,0,267.5
2008,8,0,14.5
2008,9,0,1344.0
2008,10,0,101.5
2008,11,0,295.5
2008,12,0,30.0
2009,1,0,28.0
2009,2,0,34.0
2009,3,0,179.5
2009,4,0,77.0
2009,5,0,16.0
2009,6,0,181.0
2009,7,0,25.0
2009,8,0,378.5
2009,9,0,266.5
2009,10,0,219.5
2009,11,0,59.0
2009,12,0,43.5
2010,1,0,60.0
2010,2,0,105.0
2010,3,0,41.5
2010,4,0,137.5
2010,5,0,164.5
2010,6,0,371.0
2010,7,0,24.0
2010,8,0,338.5
2010,9,0,147.0
2010,10,0,622.0
2010,11,0,69.5
2010,12,0,62.0
2011,1,16332,74.5
2011,2,33746,57.0
2011,3,19492,87.0
2011,4,29226,7.5
2011,5,20714,268.5
2011,6,30604,278.0
2011,7,31685,102.0
2011,8,23839,85.5
2011,9,23243,29.0
2011,10,23293,146.5
2011,11,22414,240.5
2011,12,16558,101.0
2012,1,20839,120.5
2012,2,16853,176.0
2012,3,24528,69.5
2012,4,27840,246.0
2012,5,18760,228.0
2012,6,18184,348.5
2012,7,25647,119.5
2012,8,20332,371.5
2012,9,22928,103.0
2012,10,28958,59.5
2012,11,19923,275.0
2012,12,21417,179.0
2013,1,19162,84.5
2013,2,19997,47.5
2013,3,38851,66.5
2013,4,28281,249.5
2013,5,24669,477.5
2013,6,39041,66.0
2013,7,26927,98.0
2013,8,25852,441.0
2013,9,22187,218.5
2013,10,29937,291.0
2013,11,31949,45.5
2013,12,21653,234.5
2014,1,27940,18.0
2014,2,36535,180.5
2014,3,35525,82.0
2014,4,33152,128.0
2014,5,29396,714.0
2014,6,30995,209.5
2014,7,31530,189.0
2014,8,33416,91.5
2014,9,26893,130.0
2014,10,30320,269.5
2014,11,28863,69.0
2014,12,25745,59.5
2015,1,35459,21.0
2015,2,29038,40.0
2015,3,30445,171.0
2015,4,31767,92.0
2015,5,29093,290.0
2015,6,29671,37.0
2015,7,33063,321.0
2015,8,22694,250.0
2015,9,29333,582.5
2015,10,34418,65.5
2015,11,32568,20.0
2015,12,20433,54.0
2016,1,23180,224.5
2016,2,37529,66.0
2016,3,22513,239.0
2016,4,30685,16.5
2016,5,32214,9.0
2016,6,29445,5.0
2016,7,35912,1.0
2016,8,26917,0.0
2016,9,17953,2.0
2016,10,33792,1.5
2016,11,35459,4.0
2016,12,32085,0.5
2017,1,29227,0.0
2017,2,25194,8.0
2017,3,28157,5.5
2017,4,45649,73.0
2017,5,30392,155.5
2017,6,24862,771.0
2017,7,32685,176.5
2017,8,34051,18.5
2017,9,32129,123.5
2017,10,60580,411.0
2017,11,25047,96.5
2017,12,28657,46.0
2018,1,25298,259.0
2018,2,38515,125.5
2018,3,43575,37.0
2018,4,46086,68.0
2018,5,48112,21.0
2018,6,32134,43.5
2018,7,40787,231.5
2018,8,36922,255.5
2018,9,27528,676.5
2018,10,34442,175.0
2018,11,38472,46.5
2018,12,36223,80.5
2019,1,28108,37.5
2019,2,40606,61.0
2019,3,39406,165.0
2019,4,44955,100.0
2019,5,37215,388.5
2019,6,45312,413.5
2019,7,37499,314.0
2019,8,33254,284.5
2019,9,30628,591.0
2019,10,45888,39.5
2019,11,42434,37.0
2019,12,43712,155.0
2020,1,38537,49.0
2020,2,26902,43.0
2020,3,24238,152.0
2020,4,19678,63.5
2020,5,32599,344.5
2020,6,42561,150.5
2020,7,40692,118.0
2020,8,33943,413.5
2020,9,22520,137.5
2020,10,38685,59.5
2020,11,33943,49.0
2020,12,16916,173.0
2021,1,32288,60.5
2021,2,29753,91.5
2021,3,29314,84.5
2021,4,35451,33.5
2021,5,14230,169.0
2021,6,471,190.0
2021,7,4088,567.0
2021,8,10417,191.0
2021,9,19098,168.0
2021,10,22511,248.5
2021,11,18608,40.75
2021,12,13781,53.5
2022,1,11633,108.0
2022,2,20692,232.0
2022,3,24159,176.5
2022,4,18898,68.0
2022,5,8080,506.0
2022,6,24259,192.0
2022,7,34135,125.5
2022,8,29833,37.0
2022,9,15950,675.0
2022,10,13388,625.5
2022,11,10938,155.0
2022,12,7264,105.0
2023,1,20190,31.0
2023,2,26116,52.5
2023,3,39875,28.5
2023,4,44165,102.5
2023,5,31069,194.0
2023,6,35408,125.0
2023,7,45902,93.0
2023,8,38047,387.5
2023,9,35843,116.5
2023,10,43172,223.0
2023,11,42514,16.5
2023,12,31017,83.0
2024,1,38688,40.5
2024,2,37214,47.5
2024,3,40313,151.0
2024,4,39833,156.5
2024,5,41043,70.5
2024,6,42673,123.75
2024,7,41426,234.0
2024,8,49809,45.0
2024,9,34639,433.5
2024,10,23256,577.5
2024,11,33017,54.5
2024,12,43472,21.0
