年份,月份,景點人數,月總雨量
2008,1,50988,72.0
2008,2,34204,143.0
2008,3,40627,116.0
2008,4,41022,109.0
2008,5,48568,232.5
2008,6,27548,299.0
2008,7,36232,254.0
2008,8,41675,230.5
2008,9,20331,925.5
2008,10,35672,72.0
2008,11,32447,135.5
2008,12,32226,28.5
2009,1,33391,25.5
2009,2,27818,33.5
2009,3,33511,175.0
2009,4,49280,101.0
2009,5,98156,17.0
2009,6,97210,275.5
2009,7,132589,56.0
2009,8,190481,327.5
2009,9,160332,193.0
2009,10,229033,147.5
2009,11,40700,38.0
2009,12,51818,42.5
2010,1,86665,80.5
2010,2,125858,196.0
2010,3,26428,52.0
2010,4,30450,116.5
2010,5,22289,153.5
2010,6,42963,342.0
2010,7,118426,25.5
2010,8,128505,298.0
2010,9,98279,108.5
2010,10,68543,233.0
2010,11,307343,60.0
2010,12,235932,45.5
2011,1,172874,50.0
2011,2,280103,53.0
2011,3,205924,93.0
2011,4,330116,8.0
2011,5,120243,194.0
2011,6,63616,271.5
2011,7,29827,149.5
2011,8,30254,142.5
2011,9,24600,36.0
2011,10,19487,71.0
2011,11,34687,196.5
2011,12,31118,118.0
2012,1,30209,122.0
2012,2,22190,243.0
2012,3,24057,63.0
2012,4,28545,288.5
2012,5,27449,200.0
2012,6,22673,534.5
2012,7,29423,120.5
2012,8,40549,501.5
2012,9,15371,75.0
2012,10,35997,62.0
2012,11,31220,217.5
2012,12,31592,158.5
2013,1,26514,60.0
2013,2,25399,31.5
2013,3,24616,48.5
2013,4,27199,248.5
2013,5,22572,344.0
2013,6,17795,219.5
2013,7,21476,241.5
2013,8,44209,830.5
2013,9,29244,126.0
2013,10,37955,99.5
2013,11,38532,44.0
2013,12,45416,176.0
2014,1,32659,40.0
2014,2,48700,180.5
2014,3,37686,155.5
2014,4,37302,86.0
2014,5,29328,530.5
2014,6,29154,338.5
2014,7,34821,194.5
2014,8,38715,114.0
2014,9,31443,153.0
2014,10,58068,42.0
2014,11,60689,35.5
2014,12,56789,71.0
2015,1,50671,16.0
2015,2,39885,69.0
2015,3,49621,182.0
2015,4,69926,75.0
2015,5,56560,291.5
2015,6,54666,132.0
2015,7,62497,285.0
2015,8,51992,641.5
2015,9,38738,236.5
2015,10,52623,78.5
2015,11,49804,13.0
2015,12,51150,36.5
2016,1,45301,223.0
2016,2,45712,57.5
2016,3,51530,247.0
2016,4,89617,10.5
2016,5,66482,6.0
2016,6,58703,1.0
2016,7,68457,1.0
2016,8,60446,0.0
2016,9,43701,6.5
2016,10,58239,6.0
2016,11,45008,4.5
2016,12,48946,0.0
2017,1,35235,0.5
2017,2,41676,1.0
2017,3,29819,6.5
2017,4,48177,85.0
2017,5,46748,170.5
2017,6,44300,663.0
2017,7,69949,115.0
2017,8,71639,116.5
2017,9,52168,158.5
2017,10,25756,225.5
2017,11,24684,108.5
2017,12,20444,40.0
2018,1,16013,243.5
2018,2,12707,128.0
2018,3,15814,31.5
2018,4,1091,49.5
2018,5,0,38.5
2018,6,8322,68.5
2018,7,30784,248.0
2018,8,37802,164.5
2018,9,35185,199.0
2018,10,42358,93.0
2018,11,36532,45.5
2018,12,47848,42.0
2019,1,48208,38.5
2019,2,42015,59.5
2019,3,41689,180.0
2019,4,32279,96.5
2019,5,35872,318.0
2019,6,38124,349.0
2019,7,43477,356.0
2019,8,59930,233.5
2019,9,47558,323.0
2019,10,48547,12.5
2019,11,39836,5.0
2019,12,43354,125.0
2020,1,39207,25.5
2020,2,35556,24.5
2020,3,27370,186.5
2020,4,20572,60.5
2020,5,37308,350.5
2020,6,67915,51.0
2020,7,58297,155.0
2020,8,53478,365.5
2020,9,33168,104.0
2020,10,41334,5.5
2020,11,24529,11.0
2020,12,39423,98.0
2021,1,40411,30.0
2021,2,33437,53.0
2021,3,30771,79.0
2021,4,25236,58.5
2021,5,34650,125.0
2021,6,0,282.0
2021,7,10256,331.5
2021,8,26658,359.5
2021,9,39661,129.5
2021,10,53875,201.5
2021,11,29707,63.5
2021,12,23932,33.75
2022,1,22994,104.0
2022,2,23624,210.5
2022,3,25107,167.5
2022,4,23991,81.0
2022,5,20700,489.0
2022,6,34214,228.0
2022,7,54177,81.5
2022,8,39088,118.0
2022,9,27611,216.5
2022,10,38191,352.5
2022,11,37153,125.5
2022,12,37862,51.5
2023,1,34949,13.5
2023,2,46224,33.5
2023,3,59945,21.5
2023,4,68624,101.5
2023,5,59127,170.5
2023,6,47827,345.0
2023,7,53245,121.0
2023,8,50011,361.25
2023,9,42360,66.0
2023,10,47106,70.0
2023,11,43029,15.0
2023,12,51052,83.0
2024,1,40813,28.5
2024,2,36972,36.0
2024,3,45584,98.0
2024,4,44267,177.0
2024,5,53124,114.5
2024,6,51224,151.25
2024,7,44988,268.0
2024,8,54032,242.0
2024,9,35345,381.0
2024,10,58173,229.5
2024,11,56237,35.5
2024,12,50556,16.0
