年份,月份,景點人數,月總雨量
2008,1,23711,101.0
2008,2,20769,148.0
2008,3,31353,121.0
2008,4,38231,102.0
2008,5,45292,345.5
2008,6,55574,455.5
2008,7,93738,233.0
2008,8,107902,189.0
2008,9,54300,1231.5
2008,10,50493,95.5
2008,11,41332,200.5
2008,12,66403,43.5
2009,1,36276,76.0
2009,2,47911,40.0
2009,3,45296,188.0
2009,4,39875,99.0
2009,5,80484,20.0
2009,6,89011,360.5
2009,7,193257,176.5
2009,8,145876,307.5
2009,9,80924,204.5
2009,10,70420,304.5
2009,11,67326,57.5
2009,12,83904,71.0
2010,1,102824,98.5
2010,2,54304,219.5
2010,3,74696,33.0
2010,4,91955,93.5
2010,5,85848,174.0
2010,6,98793,387.5
2010,7,175424,218.5
2010,8,165861,310.0
2010,9,94366,167.5
2010,10,81198,373.0
2010,11,69924,82.0
2010,12,83296,68.0
2011,1,58985,91.5
2011,2,68048,61.5
2011,3,79384,114.5
2011,4,79626,10.0
2011,5,94188,225.5
2011,6,119818,271.0
2011,7,198719,203.5
2011,8,141895,268.5
2011,9,107697,83.5
2011,10,83366,145.0
2011,11,94923,221.0
2011,12,107299,179.0
2012,1,70678,164.5
2012,2,72500,298.0
2012,3,83313,91.5
2012,4,85602,300.0
2012,5,99125,211.0
2012,6,114223,731.5
2012,7,188374,215.5
2012,8,129088,501.5
2012,9,85048,118.5
2012,10,75758,59.0
2012,11,76445,215.5
2012,12,78653,182.0
2013,1,55206,102.5
2013,2,69668,32.5
2013,3,87867,34.5
2013,4,80336,226.0
2013,5,92283,362.5
2013,6,161467,142.5
2013,7,154981,270.5
2013,8,125820,649.0
2013,9,66307,276.0
2013,10,86149,107.5
2013,11,108169,59.5
2013,12,80298,262.0
2014,1,92460,24.5
2014,2,95463,250.0
2014,3,80711,121.5
2014,4,81701,94.0
2014,5,92433,642.5
2014,6,132084,467.0
2014,7,206878,284.0
2014,8,196364,201.5
2014,9,111182,208.0
2014,10,79662,47.0
2014,11,68741,69.5
2014,12,76508,104.0
2015,1,96966,21.0
2015,2,80372,86.5
2015,3,88519,184.0
2015,4,83522,87.0
2015,5,96582,330.0
2015,6,156521,348.0
2015,7,186028,211.0
2015,8,134900,836.5
2015,9,117045,379.5
2015,10,97896,167.0
2015,11,73450,25.0
2015,12,82820,46.0
2016,1,63087,247.0
2016,2,100736,99.0
2016,3,80102,283.5
2016,4,103492,22.5
2016,5,116381,7.0
2016,6,131813,1.5
2016,7,154447,2.5
2016,8,130277,0.0
2016,9,81669,13.5
2016,10,84074,9.5
2016,11,81514,2.5
2016,12,89122,0.5
2017,1,81780,1.5
2017,2,78068,6.0
2017,3,108875,5.5
2017,4,97612,84.0
2017,5,96702,139.0
2017,6,108691,747.5
2017,7,185805,241.5
2017,8,175164,120.0
2017,9,90346,220.5
2017,10,89991,534.0
2017,11,71851,106.0
2017,12,92873,77.5
2018,1,71909,244.5
2018,2,85613,170.0
2018,3,88116,36.0
2018,4,97966,58.5
2018,5,109863,58.5
2018,6,132261,73.5
2018,7,159412,165.0
2018,8,128959,183.5
2018,9,85185,277.5
2018,10,85463,127.0
2018,11,78441,66.0
2018,12,93099,89.0
2019,1,65436,69.0
2019,2,77522,65.0
2019,3,81877,173.0
2019,4,102948,126.5
2019,5,115365,298.5
2019,6,153826,352.5
2019,7,162691,372.5
2019,8,137123,185.0
2019,9,93924,520.0
2019,10,114759,23.5
2019,11,100911,35.5
2019,12,139645,142.0
2020,1,75825,33.0
2020,2,83016,34.5
2020,3,68035,267.0
2020,4,71028,79.0
2020,5,93172,466.5
2020,6,165010,134.0
2020,7,195881,247.0
2020,8,206577,321.0
2020,9,104634,127.5
2020,10,110550,65.0
2020,11,107381,53.0
2020,12,148567,253.5
2021,1,85463,71.5
2021,2,89022,67.5
2021,3,72343,77.0
2021,4,77857,56.5
2021,5,45093,180.5
2021,6,2932,377.5
2021,7,5527,251.0
2021,8,11643,343.0
2021,9,13143,156.5
2021,10,23070,277.0
2021,11,26277,82.5
2021,12,23994,60.5
2022,1,16226,129.0
2022,2,18277,259.0
2022,3,21371,201.75
2022,4,18245,109.0
2022,5,12008,464.5
2022,6,13272,228.0
2022,7,64949,159.0
2022,8,53535,183.0
2022,9,18132,329.5
2022,10,24464,636.5
2022,11,24301,113.5
2022,12,36084,122.0
2023,1,26354,37.0
2023,2,27513,43.0
2023,3,29616,25.0
2023,4,36844,95.5
2023,5,35368,218.5
2023,6,67400,277.0
2023,7,107203,114.0
2023,8,63383,340.0
2023,9,31885,164.0
2023,10,37977,165.5
2023,11,38053,35.0
2023,12,50810,93.0
2024,1,28738,55.0
2024,2,27527,44.5
2024,3,28692,115.0
2024,4,30983,189.5
2024,5,41258,111.5
2024,6,78470,346.5
2024,7,98902,224.0
2024,8,91635,183.0
2024,9,58659,355.0
2024,10,29592,694.0
2024,11,41334,76.5
2024,12,41850,29.0
