年份,月份,景點人數,月總雨量
2008,1,6005,80.5
2008,2,2853,135.0
2008,3,8441,81.0
2008,4,8871,98.5
2008,5,8825,240.5
2008,6,4767,265.0
2008,7,7151,162.5
2008,8,8031,2.5
2008,9,3248,1064.5
2008,10,13509,46.5
2008,11,14911,186.5
2008,12,10159,24.5
2009,1,6097,24.0
2009,2,6091,23.5
2009,3,10959,181.5
2009,4,9551,76.5
2009,5,11818,15.0
2009,6,7684,178.5
2009,7,7369,9.5
2009,8,8460,257.5
2009,9,8296,227.0
2009,10,8312,127.5
2009,11,17990,40.0
2009,12,9956,36.0
2010,1,7512,85.0
2010,2,4837,173.5
2010,3,7265,36.5
2010,4,12819,126.0
2010,5,11127,137.0
2010,6,11127,273.0
2010,7,2295,18.0
2010,8,7469,239.5
2010,9,11403,77.5
2010,10,12238,282.5
2010,11,19192,38.5
2010,12,10975,54.0
2011,1,4672,38.5
2011,2,7058,56.0
2011,3,7284,97.0
2011,4,9777,7.5
2011,5,5981,158.5
2011,6,4174,234.5
2011,7,8212,111.0
2011,8,6970,44.5
2011,9,8196,9.0
2011,10,15534,53.0
2011,11,24978,183.0
2011,12,10660,81.0
2012,1,7977,87.5
2012,2,8081,149.0
2012,3,11572,46.0
2012,4,14333,258.0
2012,5,12113,241.0
2012,6,9194,331.5
2012,7,10624,82.0
2012,8,9003,377.5
2012,9,10749,132.0
2012,10,22015,49.0
2012,11,13556,283.0
2012,12,10102,163.0
2013,1,7442,64.5
2013,2,8718,30.5
2013,3,11786,49.0
2013,4,8612,275.5
2013,5,10427,494.0
2013,6,8845,87.0
2013,7,9488,201.5
2013,8,8976,635.5
2013,9,9779,134.0
2013,10,18363,243.5
2013,11,15713,30.5
2013,12,8584,185.5
2014,1,7687,15.0
2014,2,7537,176.5
2014,3,9187,79.0
2014,4,13387,91.5
2014,5,10888,550.5
2014,6,8659,170.5
2014,7,9572,151.0
2014,8,9029,26.5
2014,9,11898,5.5
2014,10,20416,173.5
2014,11,15853,62.0
2014,12,9492,54.0
2015,1,10172,21.5
2015,2,7537,41.0
2015,3,10860,164.5
2015,4,13779,87.0
2015,5,10433,277.5
2015,6,10156,44.0
2015,7,9336,237.5
2015,8,6977,382.5
2015,9,29377,404.5
2015,10,23295,39.5
2015,11,14449,9.0
2015,12,11359,44.0
2016,1,8099,241.0
2016,2,6556,83.5
2016,3,9013,232.0
2016,4,13059,14.0
2016,5,11545,8.0
2016,6,7943,5.5
2016,7,8995,0.0
2016,8,7835,0.5
2016,9,7936,4.5
2016,10,23500,4.5
2016,11,15665,4.5
2016,12,12897,0.0
2017,1,7389,0.0
2017,2,7239,7.0
2017,3,9575,5.5
2017,4,11728,69.5
2017,5,11127,137.5
2017,6,7303,658.0
2017,7,9172,95.0
2017,8,8268,40.5
2017,9,8322,127.0
2017,10,17871,198.5
2017,11,12863,84.5
2017,12,11921,35.5
2018,1,8108,265.0
2018,2,4410,112.5
2018,3,10932,31.0
2018,4,13082,76.5
2018,5,11162,21.0
2018,6,8997,22.5
2018,7,9733,148.5
2018,8,8904,264.0
2018,9,9565,468.5
2018,10,24331,103.5
2018,11,12683,39.0
2018,12,10734,49.5
2019,1,7912,34.0
2019,2,5969,63.5
2019,3,9504,174.5
2019,4,11062,114.5
2019,5,8813,392.0
2019,6,7702,426.0
2019,7,7145,251.5
2019,8,6459,198.0
2019,9,10135,622.0
2019,10,18101,13.0
2019,11,16665,3.0
2019,12,12087,140.5
2020,1,6339,41.0
2020,2,8762,41.0
2020,3,8770,159.0
2020,4,9137,57.5
2020,5,9534,304.5
2020,6,7669,111.0
2020,7,7518,117.5
2020,8,7507,532.0
2020,9,7672,126.0
2020,10,16117,8.0
2020,11,18203,9.0
2020,12,9331,86.5
2021,1,8605,35.0
2021,2,7067,59.0
2021,3,8062,79.5
2021,4,9311,34.5
2021,5,4445,143.0
2021,6,0,190.0
2021,7,552,200.0
2021,8,4869,219.5
2021,9,5421,73.0
2021,10,7502,153.0
2021,11,9798,31.25
2021,12,8073,29.75
2022,1,5114,85.5
2022,2,5183,153.5
2022,3,9037,131.0
2022,4,7004,41.5
2022,5,5131,342.0
2022,6,5561,209.5
2022,7,7474,104.5
2022,8,6896,74.0
2022,9,5717,408.0
2022,10,7334,214.0
2022,11,18499,115.0
2022,12,8396,47.0
2023,1,4252,19.0
2023,2,5818,46.0
2023,3,6453,27.0
2023,4,8904,99.5
2023,5,5689,198.0
2023,6,5838,111.5
2023,7,5544,49.5
2023,8,5681,328.5
2023,9,9875,67.0
2023,10,24716,95.5
2023,11,11045,6.0
2023,12,8937,68.5
2024,1,5698,27.5
2024,2,6358,41.5
2024,3,6199,132.5
2024,4,7656,160.5
2024,5,8391,116.5
2024,6,9065,120.25
2024,7,6156,176.5
2024,8,5888,130.5
2024,9,7223,424.0
2024,10,17746,227.5
2024,11,9932,22.5
2024,12,8422,15.0
