年份,月份,景點人數,月總雨量
2008,1,98000,79.5
2008,2,510000,142.5
2008,3,623000,70.0
2008,4,98000,156.5
2008,5,39000,247.5
2008,6,33000,224.0
2008,7,63000,267.5
2008,8,65000,14.5
2008,9,52000,1344.0
2008,10,48000,101.5
2008,11,41000,295.5
2008,12,38000,30.0
2009,1,143000,28.0
2009,2,715000,34.0
2009,3,675000,179.5
2009,4,112000,77.0
2009,5,41000,16.0
2009,6,32000,181.0
2009,7,61000,25.0
2009,8,54000,378.5
2009,9,47000,266.5
2009,10,45000,219.5
2009,11,39000,59.0
2009,12,42000,43.5
2010,1,128000,60.0
2010,2,456000,105.0
2010,3,824600,41.5
2010,4,86000,137.5
2010,5,45000,164.5
2010,6,35000,371.0
2010,7,58000,24.0
2010,8,51000,338.5
2010,9,45000,147.0
2010,10,42000,622.0
2010,11,43000,69.5
2010,12,45000,62.0
2011,1,96000,74.5
2011,2,414000,57.0
2011,3,611300,87.0
2011,4,92000,7.5
2011,5,42000,268.5
2011,6,33000,278.0
2011,7,56000,102.0
2011,8,49000,85.5
2011,9,42000,29.0
2011,10,39000,146.5
2011,11,40000,240.5
2011,12,36000,101.0
2012,1,161000,120.5
2012,2,463000,176.0
2012,3,705200,69.5
2012,4,85600,246.0
2012,5,38600,228.0
2012,6,28000,348.5
2012,7,51700,119.5
2012,8,44700,371.5
2012,9,39000,103.0
2012,10,36000,59.5
2012,11,35000,275.0
2012,12,33000,179.0
2013,1,114000,84.5
2013,2,768000,47.5
2013,3,582000,66.5
2013,4,76000,249.5
2013,5,35800,477.5
2013,6,27500,66.0
2013,7,44700,98.0
2013,8,42500,441.0
2013,9,38000,218.5
2013,10,35000,291.0
2013,11,32500,45.5
2013,12,31000,234.5
2014,1,98500,18.0
2014,2,1023900,180.5
2014,3,411400,82.0
2014,4,78000,128.0
2014,5,32800,714.0
2014,6,25400,209.5
2014,7,43200,189.0
2014,8,41500,91.5
2014,9,34200,130.0
2014,10,33000,269.5
2014,11,30500,69.0
2014,12,29000,59.5
2015,1,94000,21.0
2015,2,922000,40.0
2015,3,624200,171.0
2015,4,76000,92.0
2015,5,31000,290.0
2015,6,21550,37.0
2015,7,13090,321.0
2015,8,5100,250.0
2015,9,4390,582.5
2015,10,8700,65.5
2015,11,13040,20.0
2015,12,19350,54.0
2016,1,26250,224.5
2016,2,663367,66.0
2016,3,691332,239.0
2016,4,25200,16.5
2016,5,30750,9.0
2016,6,24750,5.0
2016,7,15400,1.0
2016,8,9540,0.0
2016,9,4940,2.0
2016,10,4750,1.5
2016,11,6513,4.0
2016,12,4883,0.5
2017,1,8490,0.0
2017,2,569737,8.0
2017,3,802012,5.5
2017,4,35988,73.0
2017,5,26671,155.5
2017,6,23895,771.0
2017,7,17950,176.5
2017,8,15050,18.5
2017,9,12850,123.5
2017,10,9050,411.0
2017,11,8270,96.5
2017,12,8660,46.0
2018,1,8750,259.0
2018,2,247131,125.5
2018,3,891890,37.0
2018,4,26500,68.0
2018,5,23500,21.0
2018,6,24400,43.5
2018,7,15700,231.5
2018,8,16060,255.5
2018,9,14010,676.5
2018,10,7630,175.0
2018,11,9940,46.5
2018,12,9480,80.5
2019,1,10340,37.5
2019,2,362770,61.0
2019,3,616450,165.0
2019,4,35100,100.0
2019,5,28300,388.5
2019,6,26400,413.5
2019,7,14400,314.0
2019,8,13300,284.5
2019,9,13500,591.0
2019,10,9800,39.5
2019,11,9400,37.0
2019,12,9300,155.0
2020,1,63502,49.0
2020,2,182033,43.0
2020,3,395529,152.0
2020,4,17600,63.5
2020,5,10400,344.5
2020,6,20600,150.5
2020,7,15600,118.0
2020,8,17800,413.5
2020,9,15420,137.5
2020,10,7380,59.5
2020,11,10070,49.0
2020,12,8690,173.0
2021,1,14994,60.5
2021,2,609339,91.5
2021,3,572943,84.5
2021,4,12322,33.5
2021,5,3022,169.0
2021,6,18052,190.0
2021,7,9750,567.0
2021,8,14460,191.0
2021,9,13520,168.0
2021,10,6308,248.5
2021,11,5970,40.75
2021,12,6622,53.5
2022,1,202150,108.0
2022,2,278450,232.0
2022,3,544370,176.5
2022,4,525003,68.0
2022,5,219193,506.0
2022,6,207641,192.0
2022,7,296942,125.5
2022,8,362586,37.0
2022,9,203882,675.0
2022,10,184476,625.5
2022,11,330665,155.0
2022,12,137314,105.0
2023,1,351555,31.0
2023,2,383053,52.5
2023,3,658319,28.5
2023,4,611056,102.5
2023,5,549175,194.0
2023,6,483219,125.0
2023,7,457438,93.0
2023,8,399813,387.5
2023,9,475343,116.5
2023,10,556056,223.0
2023,11,498650,16.5
2023,12,488298,83.0
2024,1,455533,40.5
2024,2,638718,47.5
2024,3,738390,151.0
2024,4,569279,156.5
2024,5,590482,70.5
2024,6,560933,123.75
2024,7,468844,234.0
2024,8,497233,45.0
2024,9,488439,433.5
2024,10,530380,577.5
2024,11,460048,54.5
2024,12,438323,21.0
