年份,月份,景點人數,月總雨量
2008,1,12728,79.5
2008,2,12788,142.5
2008,3,13898,70.0
2008,4,15448,156.5
2008,5,12790,247.5
2008,6,14836,224.0
2008,7,20567,267.5
2008,8,28248,14.5
2008,9,20681,1344.0
2008,10,15269,101.5
2008,11,17206,295.5
2008,12,13474,30.0
2009,1,14562,28.0
2009,2,15968,34.0
2009,3,19888,179.5
2009,4,13165,77.0
2009,5,17578,16.0
2009,6,15936,181.0
2009,7,21415,25.0
2009,8,14389,378.5
2009,9,10053,266.5
2009,10,11962,219.5
2009,11,15172,59.0
2009,12,12013,43.5
2010,1,17142,60.0
2010,2,16672,105.0
2010,3,20561,41.5
2010,4,12214,137.5
2010,5,12247,164.5
2010,6,10842,371.0
2010,7,14946,24.0
2010,8,15611,338.5
2010,9,11050,147.0
2010,10,12111,622.0
2010,11,11884,69.5
2010,12,12957,62.0
2011,1,11937,74.5
2011,2,17581,57.0
2011,3,13094,87.0
2011,4,13306,7.5
2011,5,11248,268.5
2011,6,13140,278.0
2011,7,17282,102.0
2011,8,13201,85.5
2011,9,13785,29.0
2011,10,16426,146.5
2011,11,10710,240.5
2011,12,11148,101.0
2012,1,12187,120.5
2012,2,18612,176.0
2012,3,18580,69.5
2012,4,13329,246.0
2012,5,14179,228.0
2012,6,11397,348.5
2012,7,16000,119.5
2012,8,11791,371.5
2012,9,10469,103.0
2012,10,11515,59.5
2012,11,6896,275.0
2012,12,9631,179.0
2013,1,18133,84.5
2013,2,66380,47.5
2013,3,28664,66.5
2013,4,13106,249.5
2013,5,14624,477.5
2013,6,12856,66.0
2013,7,14267,98.0
2013,8,10917,441.0
2013,9,8291,218.5
2013,10,8156,291.0
2013,11,7192,45.5
2013,12,6792,234.5
2014,1,30147,18.0
2014,2,12587,180.5
2014,3,10463,82.0
2014,4,9435,128.0
2014,5,7859,714.0
2014,6,10190,209.5
2014,7,11561,189.0
2014,8,36528,91.5
2014,9,9787,130.0
2014,10,8593,269.5
2014,11,8530,69.0
2014,12,6505,59.5
2015,1,10773,21.0
2015,2,12587,40.0
2015,3,10360,171.0
2015,4,9315,92.0
2015,5,8395,290.0
2015,6,11833,37.0
2015,7,11518,321.0
2015,8,7228,250.0
2015,9,11310,582.5
2015,10,10575,65.5
2015,11,11370,20.0
2015,12,8977,54.0
2016,1,12349,224.5
2016,2,7941,66.0
2016,3,10391,239.0
2016,4,11667,16.5
2016,5,12854,9.0
2016,6,12468,5.0
2016,7,11457,1.0
2016,8,9562,0.0
2016,9,7305,2.0
2016,10,0,1.5
2016,11,0,4.0
2016,12,0,0.5
2017,1,11835,0.0
2017,2,14029,8.0
2017,3,14400,5.5
2017,4,18840,73.0
2017,5,16300,155.5
2017,6,13364,771.0
2017,7,21623,176.5
2017,8,22431,18.5
2017,9,6780,123.5
2017,10,0,411.0
2017,11,0,96.5
2017,12,0,46.0
2018,1,18832,259.0
2018,2,52386,125.5
2018,3,16896,37.0
2018,4,15409,68.0
2018,5,17161,21.0
2018,6,52793,43.5
2018,7,15355,231.5
2018,8,15512,255.5
2018,9,13055,676.5
2018,10,16738,175.0
2018,11,18460,46.5
2018,12,20950,80.5
2019,1,16358,37.5
2019,2,34154,61.0
2019,3,19223,165.0
2019,4,22918,100.0
2019,5,18408,388.5
2019,6,20368,413.5
2019,7,20841,314.0
2019,8,21888,284.5
2019,9,13500,591.0
2019,10,17686,39.5
2019,11,16880,37.0
2019,12,15873,155.0
2020,1,18936,49.0
2020,2,14591,43.0
2020,3,12992,152.0
2020,4,9603,63.5
2020,5,10249,344.5
2020,6,12303,150.5
2020,7,13064,118.0
2020,8,10650,413.5
2020,9,9458,137.5
2020,10,9071,59.5
2020,11,8622,49.0
2020,12,5340,173.0
2021,1,9087,60.5
2021,2,10321,91.5
2021,3,9338,84.5
2021,4,11290,33.5
2021,5,4219,169.0
2021,6,0,190.0
2021,7,175,567.0
2021,8,835,191.0
2021,9,1201,168.0
2021,10,1127,248.5
2021,11,1555,40.75
2021,12,3309,53.5
2022,1,4733,108.0
2022,2,6628,232.0
2022,3,7705,176.5
2022,4,5146,68.0
2022,5,3517,506.0
2022,6,7594,192.0
2022,7,14315,125.5
2022,8,11911,37.0
2022,9,7465,675.0
2022,10,5787,625.5
2022,11,6438,155.0
2022,12,6593,105.0
2023,1,60330,31.0
2023,2,60338,52.5
2023,3,73293,28.5
2023,4,70644,102.5
2023,5,58005,194.0
2023,6,60807,125.0
2023,7,74049,93.0
2023,8,56339,387.5
2023,9,63333,116.5
2023,10,64186,223.0
2023,11,69000,16.5
2023,12,54682,83.0
2024,1,65763,40.5
2024,2,62937,47.5
2024,3,67658,151.0
2024,4,47400,156.5
2024,5,56719,70.5
2024,6,60705,123.75
2024,7,63120,234.0
2024,8,62988,45.0
2024,9,51636,433.5
2024,10,44061,577.5
2024,11,48573,54.5
2024,12,51078,21.0
