年份,月份,景點人數,月總雨量
2008,1,2112,79.5
2008,2,2929,142.5
2008,3,3603,70.0
2008,4,3395,156.5
2008,5,2764,247.5
2008,6,2710,224.0
2008,7,2413,267.5
2008,8,2908,14.5
2008,9,1618,1344.0
2008,10,3842,101.5
2008,11,3009,295.5
2008,12,3302,30.0
2009,1,2562,28.0
2009,2,2846,34.0
2009,3,3375,179.5
2009,4,3756,77.0
2009,5,3376,16.0
2009,6,2369,181.0
2009,7,2982,25.0
2009,8,2928,378.5
2009,9,2438,266.5
2009,10,2758,219.5
2009,11,3664,59.0
2009,12,2507,43.5
2010,1,2354,60.0
2010,2,2716,105.0
2010,3,4286,41.5
2010,4,3358,137.5
2010,5,3192,164.5
2010,6,2040,371.0
2010,7,3423,24.0
2010,8,3680,338.5
2010,9,2166,147.0
2010,10,2295,622.0
2010,11,2597,69.5
2010,12,2309,62.0
2011,1,1685,74.5
2011,2,3581,57.0
2011,3,3561,87.0
2011,4,3822,7.5
2011,5,2234,268.5
2011,6,2320,278.0
2011,7,3534,102.0
2011,8,3367,85.5
2011,9,2977,29.0
2011,10,2715,146.5
2011,11,2830,240.5
2011,12,2698,101.0
2012,1,2597,120.5
2012,2,3617,176.0
2012,3,5221,69.5
2012,4,4317,246.0
2012,5,3497,228.0
2012,6,2815,348.5
2012,7,3005,119.5
2012,8,2497,371.5
2012,9,2764,103.0
2012,10,3701,59.5
2012,11,2863,275.0
2012,12,2983,179.0
2013,1,3010,84.5
2013,2,3667,47.5
2013,3,3804,66.5
2013,4,3082,249.5
2013,5,2826,477.5
2013,6,2943,66.0
2013,7,2817,98.0
2013,8,2668,441.0
2013,9,2550,218.5
2013,10,3191,291.0
2013,11,3748,45.5
2013,12,2455,234.5
2014,1,2446,18.0
2014,2,3203,180.5
2014,3,2991,82.0
2014,4,3614,128.0
2014,5,2675,714.0
2014,6,2361,209.5
2014,7,2858,189.0
2014,8,2991,91.5
2014,9,2680,130.0
2014,10,3543,269.5
2014,11,3170,69.0
2014,12,2757,59.5
2015,1,2811,21.0
2015,2,4196,40.0
2015,3,3157,171.0
2015,4,3278,92.0
2015,5,3230,290.0
2015,6,7392,37.0
2015,7,2343,321.0
2015,8,1333,250.0
2015,9,2378,582.5
2015,10,3426,65.5
2015,11,3529,20.0
2015,12,2448,54.0
2016,1,2846,224.5
2016,2,3915,66.0
2016,3,2524,239.0
2016,4,3145,16.5
2016,5,3615,9.0
2016,6,2574,5.0
2016,7,2766,1.0
2016,8,2830,0.0
2016,9,1639,2.0
2016,10,2805,1.5
2016,11,2832,4.0
2016,12,2857,0.5
2017,1,2834,0.0
2017,2,3002,8.0
2017,3,2910,5.5
2017,4,3500,73.0
2017,5,3002,155.5
2017,6,2101,771.0
2017,7,2654,176.5
2017,8,2455,18.5
2017,9,2272,123.5
2017,10,3489,411.0
2017,11,2490,96.5
2017,12,2177,46.0
2018,1,1616,259.0
2018,2,2745,125.5
2018,3,2811,37.0
2018,4,13045,68.0
2018,5,11270,21.0
2018,6,10926,43.5
2018,7,6813,231.5
2018,8,6009,255.5
2018,9,11634,676.5
2018,10,9339,175.0
2018,11,7987,46.5
2018,12,9317,80.5
2019,1,8761,37.5
2019,2,12488,61.0
2019,3,2415,165.0
2019,4,11296,100.0
2019,5,10862,388.5
2019,6,10557,413.5
2019,7,13671,314.0
2019,8,11650,284.5
2019,9,7134,591.0
2019,10,9475,39.5
2019,11,10703,37.0
2019,12,8483,155.0
2020,1,8983,49.0
2020,2,9847,43.0
2020,3,8295,152.0
2020,4,5819,63.5
2020,5,6886,344.5
2020,6,8747,150.5
2020,7,9086,118.0
2020,8,7959,413.5
2020,9,5855,137.5
2020,10,6569,59.5
2020,11,5888,49.0
2020,12,5376,173.0
2021,1,4434,60.5
2021,2,5299,91.5
2021,3,4925,84.5
2021,4,6117,33.5
2021,5,2403,169.0
2021,6,0,190.0
2021,7,426,567.0
2021,8,1252,191.0
2021,9,1304,168.0
2021,10,1449,248.5
2021,11,2604,40.75
2021,12,3162,53.5
2022,1,3381,108.0
2022,2,4017,232.0
2022,3,4102,176.5
2022,4,3701,68.0
2022,5,2617,506.0
2022,6,3996,192.0
2022,7,4746,125.5
2022,8,4770,37.0
2022,9,3297,675.0
2022,10,2896,625.5
2022,11,3858,155.0
2022,12,3078,105.0
2023,1,4570,31.0
2023,2,13989,52.5
2023,3,14737,28.5
2023,4,14258,102.5
2023,5,11019,194.0
2023,6,7984,125.0
2023,7,8942,93.0
2023,8,5106,387.5
2023,9,4342,116.5
2023,10,7677,223.0
2023,11,7411,16.5
2023,12,6415,83.0
2024,1,7216,40.5
2024,2,8545,47.5
2024,3,6408,151.0
2024,4,5844,156.5
2024,5,5661,70.5
2024,6,5833,123.75
2024,7,5725,234.0
2024,8,6147,45.0
2024,9,5113,433.5
2024,10,4448,577.5
2024,11,5891,54.5
2024,12,6044,21.0
