年份,月份,景點人數,月總雨量
2008,1,0,79.5
2008,2,0,142.5
2008,3,0,70.0
2008,4,0,156.5
2008,5,0,247.5
2008,6,0,224.0
2008,7,0,267.5
2008,8,0,14.5
2008,9,0,1344.0
2008,10,0,101.5
2008,11,0,295.5
2008,12,0,30.0
2009,1,0,28.0
2009,2,0,34.0
2009,3,0,179.5
2009,4,0,77.0
2009,5,0,16.0
2009,6,0,181.0
2009,7,0,25.0
2009,8,0,378.5
2009,9,0,266.5
2009,10,0,219.5
2009,11,0,59.0
2009,12,0,43.5
2010,1,0,60.0
2010,2,0,105.0
2010,3,0,41.5
2010,4,0,137.5
2010,5,0,164.5
2010,6,0,371.0
2010,7,0,24.0
2010,8,0,338.5
2010,9,0,147.0
2010,10,0,622.0
2010,11,0,69.5
2010,12,0,62.0
2011,1,0,74.5
2011,2,0,57.0
2011,3,0,87.0
2011,4,0,7.5
2011,5,0,268.5
2011,6,0,278.0
2011,7,0,102.0
2011,8,0,85.5
2011,9,0,29.0
2011,10,0,146.5
2011,11,0,240.5
2011,12,0,101.0
2012,1,0,120.5
2012,2,0,176.0
2012,3,0,69.5
2012,4,0,246.0
2012,5,0,228.0
2012,6,0,348.5
2012,7,0,119.5
2012,8,0,371.5
2012,9,0,103.0
2012,10,0,59.5
2012,11,0,275.0
2012,12,0,179.0
2013,1,0,84.5
2013,2,0,47.5
2013,3,0,66.5
2013,4,0,249.5
2013,5,0,477.5
2013,6,0,66.0
2013,7,0,98.0
2013,8,0,441.0
2013,9,0,218.5
2013,10,0,291.0
2013,11,0,45.5
2013,12,0,234.5
2014,1,0,18.0
2014,2,0,180.5
2014,3,0,82.0
2014,4,0,128.0
2014,5,0,714.0
2014,6,0,209.5
2014,7,0,189.0
2014,8,0,91.5
2014,9,0,130.0
2014,10,0,269.5
2014,11,0,69.0
2014,12,0,59.5
2015,1,0,21.0
2015,2,0,40.0
2015,3,0,171.0
2015,4,0,92.0
2015,5,0,290.0
2015,6,0,37.0
2015,7,0,321.0
2015,8,0,250.0
2015,9,0,582.5
2015,10,0,65.5
2015,11,0,20.0
2015,12,0,54.0
2016,1,0,224.5
2016,2,0,66.0
2016,3,0,239.0
2016,4,0,16.5
2016,5,0,9.0
2016,6,0,5.0
2016,7,0,1.0
2016,8,0,0.0
2016,9,0,2.0
2016,10,0,1.5
2016,11,0,4.0
2016,12,0,0.5
2017,1,0,0.0
2017,2,0,8.0
2017,3,0,5.5
2017,4,0,73.0
2017,5,0,155.5
2017,6,0,771.0
2017,7,0,176.5
2017,8,0,18.5
2017,9,0,123.5
2017,10,0,411.0
2017,11,0,96.5
2017,12,0,46.0
2018,1,0,259.0
2018,2,0,125.5
2018,3,0,37.0
2018,4,0,68.0
2018,5,0,21.0
2018,6,0,43.5
2018,7,0,231.5
2018,8,0,255.5
2018,9,0,676.5
2018,10,0,175.0
2018,11,0,46.5
2018,12,0,80.5
2019,1,24167,37.5
2019,2,44003,61.0
2019,3,46344,165.0
2019,4,45917,100.0
2019,5,37508,388.5
2019,6,54834,413.5
2019,7,59303,314.0
2019,8,67573,284.5
2019,9,46038,591.0
2019,10,58419,39.5
2019,11,74151,37.0
2019,12,59243,155.0
2020,1,43952,49.0
2020,2,46861,43.0
2020,3,58151,152.0
2020,4,28272,63.5
2020,5,35572,344.5
2020,6,45194,150.5
2020,7,58141,118.0
2020,8,49737,413.5
2020,9,37474,137.5
2020,10,53017,59.5
2020,11,49737,49.0
2020,12,36609,173.0
2021,1,45076,60.5
2021,2,37350,91.5
2021,3,36986,84.5
2021,4,53933,33.5
2021,5,23061,169.0
2021,6,2714,190.0
2021,7,7777,567.0
2021,8,19289,191.0
2021,9,25368,168.0
2021,10,25641,248.5
2021,11,46195,40.75
2021,12,38351,53.5
2022,1,23806,108.0
2022,2,24165,232.0
2022,3,36458,176.5
2022,4,33436,68.0
2022,5,15970,506.0
2022,6,36410,192.0
2022,7,46164,125.5
2022,8,42219,37.0
2022,9,28492,675.0
2022,10,32949,625.5
2022,11,50599,155.0
2022,12,29433,105.0
2023,1,49030,31.0
2023,2,53428,52.5
2023,3,47496,28.5
2023,4,61543,102.5
2023,5,50953,194.0
2023,6,69372,125.0
2023,7,68207,93.0
2023,8,55318,387.5
2023,9,74631,116.5
2023,10,78847,223.0
2023,11,110891,16.5
2023,12,63328,83.0
2024,1,51767,40.5
2024,2,49536,47.5
2024,3,51485,151.0
2024,4,44234,156.5
2024,5,49467,70.5
2024,6,43699,123.75
2024,7,60279,234.0
2024,8,66733,45.0
2024,9,48001,433.5
2024,10,52831,577.5
2024,11,73867,54.5
2024,12,63077,21.0
