年份,月份,景點人數,月總雨量
2008,1,0,79.5
2008,2,0,142.5
2008,3,25029,70.0
2008,4,18392,156.5
2008,5,18845,247.5
2008,6,15330,224.0
2008,7,22401,267.5
2008,8,24100,14.5
2008,9,10622,1344.0
2008,10,22905,101.5
2008,11,29823,295.5
2008,12,26884,30.0
2009,1,17910,28.0
2009,2,26670,34.0
2009,3,22081,179.5
2009,4,23191,77.0
2009,5,23860,16.0
2009,6,19008,181.0
2009,7,26468,25.0
2009,8,27383,378.5
2009,9,15926,266.5
2009,10,25571,219.5
2009,11,31067,59.0
2009,12,32161,43.5
2010,1,32468,60.0
2010,2,29744,105.0
2010,3,24664,41.5
2010,4,24820,137.5
2010,5,24578,164.5
2010,6,20254,371.0
2010,7,26115,24.0
2010,8,25839,338.5
2010,9,18287,147.0
2010,10,26217,622.0
2010,11,28661,69.5
2010,12,33375,62.0
2011,1,34098,74.5
2011,2,35307,57.0
2011,3,29274,87.0
2011,4,29684,7.5
2011,5,24481,268.5
2011,6,22106,278.0
2011,7,32650,102.0
2011,8,28964,85.5
2011,9,25903,29.0
2011,10,32719,146.5
2011,11,39661,240.5
2011,12,43024,101.0
2012,1,34088,120.5
2012,2,38693,176.0
2012,3,35707,69.5
2012,4,37188,246.0
2012,5,34755,228.0
2012,6,32983,348.5
2012,7,44778,119.5
2012,8,47214,371.5
2012,9,44313,103.0
2012,10,40964,59.5
2012,11,43422,275.0
2012,12,48988,179.0
2013,1,43794,84.5
2013,2,26273,47.5
2013,3,40520,66.5
2013,4,30264,249.5
2013,5,32084,477.5
2013,6,34153,66.0
2013,7,33724,98.0
2013,8,42358,441.0
2013,9,53084,218.5
2013,10,47226,291.0
2013,11,55241,45.5
2013,12,50133,234.5
2014,1,38943,18.0
2014,2,34459,180.5
2014,3,41525,82.0
2014,4,42657,128.0
2014,5,45627,714.0
2014,6,39607,209.5
2014,7,43671,189.0
2014,8,53331,91.5
2014,9,41106,130.0
2014,10,61121,269.5
2014,11,60856,69.0
2014,12,37107,59.5
2015,1,54643,21.0
2015,2,46748,40.0
2015,3,48226,171.0
2015,4,55369,92.0
2015,5,42824,290.0
2015,6,32791,37.0
2015,7,38702,321.0
2015,8,39188,250.0
2015,9,38506,582.5
2015,10,56993,65.5
2015,11,51555,20.0
2015,12,28510,54.0
2016,1,48000,224.5
2016,2,36411,66.0
2016,3,35908,239.0
2016,4,35548,16.5
2016,5,33073,9.0
2016,6,25054,5.0
2016,7,32714,1.0
2016,8,33584,0.0
2016,9,25989,2.0
2016,10,41738,1.5
2016,11,42059,4.0
2016,12,49833,0.5
2017,1,36469,0.0
2017,2,35987,8.0
2017,3,35242,5.5
2017,4,38886,73.0
2017,5,31803,155.5
2017,6,24905,771.0
2017,7,29117,176.5
2017,8,32176,18.5
2017,9,2668,123.5
2017,10,0,411.0
2017,11,0,96.5
2017,12,0,46.0
2018,1,0,259.0
2018,2,0,125.5
2018,3,0,37.0
2018,4,0,68.0
2018,5,0,21.0
2018,6,0,43.5
2018,7,0,231.5
2018,8,0,255.5
2018,9,0,676.5
2018,10,5571,175.0
2018,11,39131,46.5
2018,12,40454,80.5
2019,1,37415,37.5
2019,2,25183,61.0
2019,3,30615,165.0
2019,4,28633,100.0
2019,5,30010,388.5
2019,6,28274,413.5
2019,7,30907,314.0
2019,8,31433,284.5
2019,9,43952,591.0
2019,10,42903,39.5
2019,11,43298,37.0
2019,12,43945,155.0
2020,1,32560,49.0
2020,2,24135,43.0
2020,3,10969,152.0
2020,4,6520,63.5
2020,5,9630,344.5
2020,6,9499,150.5
2020,7,13276,118.0
2020,8,18220,413.5
2020,9,18296,137.5
2020,10,25466,59.5
2020,11,20893,49.0
2020,12,25342,173.0
2021,1,25103,60.5
2021,2,19431,91.5
2021,3,16858,84.5
2021,4,17611,33.5
2021,5,5866,169.0
2021,6,0,190.0
2021,7,209,567.0
2021,8,1248,191.0
2021,9,2826,168.0
2021,10,15745,248.5
2021,11,22208,40.75
2021,12,22479,53.5
2022,1,14227,108.0
2022,2,11542,232.0
2022,3,14694,176.5
2022,4,9998,68.0
2022,5,5547,506.0
2022,6,7924,192.0
2022,7,18030,125.5
2022,8,19679,37.0
2022,9,12731,675.0
2022,10,18246,625.5
2022,11,23191,155.0
2022,12,30292,105.0
2023,1,28360,31.0
2023,2,31478,52.5
2023,3,29821,28.5
2023,4,34133,102.5
2023,5,26054,194.0
2023,6,24272,125.0
2023,7,27183,93.0
2023,8,27437,387.5
2023,9,24938,116.5
2023,10,32589,223.0
2023,11,38414,16.5
2023,12,43905,83.0
2024,1,40451,40.5
2024,2,31132,47.5
2024,3,38337,151.0
2024,4,32383,156.5
2024,5,29062,70.5
2024,6,24190,123.75
2024,7,22551,234.0
2024,8,25729,45.0
2024,9,22113,433.5
2024,10,30158,577.5
2024,11,38439,54.5
2024,12,44015,21.0
