年份,月份,景點人數,月總雨量
2008,1,87631,101.0
2008,2,84787,148.0
2008,3,89593,121.0
2008,4,77262,102.0
2008,5,83464,345.5
2008,6,86387,455.5
2008,7,105910,233.0
2008,8,112075,189.0
2008,9,76085,1231.5
2008,10,97663,95.5
2008,11,95927,200.5
2008,12,94285,43.5
2009,1,85627,76.0
2009,2,76983,40.0
2009,3,113787,188.0
2009,4,132315,99.0
2009,5,119036,20.0
2009,6,98279,360.5
2009,7,114365,176.5
2009,8,122992,307.5
2009,9,124479,204.5
2009,10,109094,304.5
2009,11,134359,57.5
2009,12,125517,71.0
2010,1,117546,98.5
2010,2,120301,219.5
2010,3,166022,33.0
2010,4,184906,93.5
2010,5,155823,174.0
2010,6,150212,387.5
2010,7,135837,218.5
2010,8,166420,310.0
2010,9,142540,167.5
2010,10,156793,373.0
2010,11,170812,82.0
2010,12,152330,68.0
2011,1,150885,91.5
2011,2,139308,61.5
2011,3,136456,114.5
2011,4,199518,10.0
2011,5,199518,225.5
2011,6,84238,271.0
2011,7,136716,203.5
2011,8,167686,268.5
2011,9,142438,83.5
2011,10,161968,145.0
2011,11,187063,221.0
2011,12,208936,179.0
2012,1,141836,164.5
2012,2,140217,298.0
2012,3,208346,91.5
2012,4,220559,300.0
2012,5,207790,211.0
2012,6,178553,731.5
2012,7,199420,215.5
2012,8,188764,501.5
2012,9,180937,118.5
2012,10,194821,59.0
2012,11,201929,215.5
2012,12,196487,182.0
2013,1,184472,102.5
2013,2,143191,32.5
2013,3,184454,34.5
2013,4,219488,226.0
2013,5,182200,362.5
2013,6,170253,142.5
2013,7,165218,270.5
2013,8,210005,649.0
2013,9,190095,276.0
2013,10,193091,107.5
2013,11,207302,59.5
2013,12,206936,262.0
2014,1,214158,24.5
2014,2,221152,250.0
2014,3,242064,121.5
2014,4,257042,94.0
2014,5,232649,642.5
2014,6,205446,467.0
2014,7,256793,284.0
2014,8,229219,201.5
2014,9,224397,208.0
2014,10,263933,47.0
2014,11,254599,69.5
2014,12,239383,104.0
2015,1,246659,21.0
2015,2,248275,86.5
2015,3,201381,184.0
2015,4,211570,87.0
2015,5,250265,330.0
2015,6,210681,348.0
2015,7,247597,211.0
2015,8,249397,836.5
2015,9,201463,379.5
2015,10,261463,167.0
2015,11,263196,25.0
2015,12,247747,46.0
2016,1,211159,247.0
2016,2,248568,99.0
2016,3,262240,283.5
2016,4,244584,22.5
2016,5,236487,7.0
2016,6,195902,1.5
2016,7,217606,2.5
2016,8,210655,0.0
2016,9,155393,13.5
2016,10,187740,9.5
2016,11,199033,2.5
2016,12,213490,0.5
2017,1,195679,1.5
2017,2,176848,6.0
2017,3,180159,5.5
2017,4,186344,84.0
2017,5,175151,139.0
2017,6,150995,747.5
2017,7,180536,241.5
2017,8,214955,120.0
2017,9,161362,220.5
2017,10,197519,534.0
2017,11,214191,106.0
2017,12,218718,77.5
2018,1,200490,244.5
2018,2,177877,170.0
2018,3,185523,36.0
2018,4,177751,58.5
2018,5,165599,58.5
2018,6,148835,73.5
2018,7,158328,165.0
2018,8,194286,183.5
2018,9,149602,277.5
2018,10,194757,127.0
2018,11,190766,66.0
2018,12,182236,89.0
2019,1,183584,69.0
2019,2,185776,65.0
2019,3,217634,173.0
2019,4,212639,126.5
2019,5,203126,298.5
2019,6,174405,352.5
2019,7,196803,372.5
2019,8,215234,185.0
2019,9,123578,520.0
2019,10,208122,23.5
2019,11,226653,35.5
2019,12,240628,142.0
2020,1,163152,33.0
2020,2,45053,34.5
2020,3,10742,267.0
2020,4,3344,79.0
2020,5,10627,466.5
2020,6,55186,134.0
2020,7,74958,247.0
2020,8,87856,321.0
2020,9,68607,127.5
2020,10,37771,65.0
2020,11,24147,53.0
2020,12,41976,253.5
2021,1,28887,71.5
2021,2,23610,67.5
2021,3,22450,77.0
2021,4,31121,56.5
2021,5,5946,180.5
2021,6,0,377.5
2021,7,0,251.0
2021,8,0,343.0
2021,9,0,156.5
2021,10,10576,277.0
2021,11,16548,82.5
2021,12,24179,60.5
2022,1,13255,129.0
2022,2,12919,259.0
2022,3,12338,201.75
2022,4,10068,109.0
2022,5,4110,464.5
2022,6,13261,228.0
2022,7,29095,159.0
2022,8,41067,183.0
2022,9,24399,329.5
2022,10,30379,636.5
2022,11,39252,113.5
2022,12,65515,122.0
2023,1,82197,37.0
2023,2,81372,43.0
2023,3,83680,25.0
2023,4,108010,95.5
2023,5,91080,218.5
2023,6,96577,277.0
2023,7,120250,114.0
2023,8,120480,340.0
2023,9,100538,164.0
2023,10,121428,165.5
2023,11,136579,35.0
2023,12,147559,93.0
2024,1,927706,55.0
2024,2,989833,44.5
2024,3,968530,115.0
2024,4,905987,189.5
2024,5,904634,111.5
2024,6,1072583,346.5
2024,7,1155100,224.0
2024,8,1171611,183.0
2024,9,1078551,355.0
2024,10,1033942,694.0
2024,11,1138041,76.5
2024,12,1402290,29.0
