年份,月份,景點人數,月總雨量
2008,1,117850,136.5
2008,2,147900,165.5
2008,3,141000,132.0
2008,4,110000,203.0
2008,5,121000,303.0
2008,6,103200,276.5
2008,7,98000,222.0
2008,8,79100,98.5
2008,9,77500,1089.0
2008,10,78680,83.0
2008,11,370180,139.0
2008,12,180000,19.0
2009,1,119000,21.0
2009,2,168000,36.0
2009,3,142000,178.0
2009,4,108000,108.5
2009,5,114520,10.5
2009,6,95220,254.5
2009,7,111490,5.0
2009,8,65000,8.5
2009,9,72605,199.5
2009,10,73000,134.5
2009,11,157020,29.5
2009,12,358390,34.5
2010,1,117000,76.0
2010,2,161330,178.5
2010,3,143000,44.0
2010,4,105300,104.5
2010,5,121170,166.5
2010,6,98700,333.0
2010,7,95000,26.0
2010,8,63000,294.0
2010,9,70500,95.5
2010,10,72000,198.0
2010,11,234010,35.0
2010,12,304240,38.0
2011,1,119500,41.0
2011,2,162000,46.5
2011,3,142000,75.5
2011,4,103500,8.0
2011,5,117670,161.0
2011,6,96600,249.0
2011,7,93200,72.5
2011,8,63200,83.0
2011,9,68000,17.0
2011,10,71000,71.0
2011,11,258000,164.5
2011,12,245800,89.5
2012,1,191000,101.0
2012,2,180800,200.0
2012,3,150000,63.5
2012,4,115000,340.0
2012,5,119000,220.5
2012,6,90000,498.5
2012,7,85000,65.5
2012,8,65000,482.5
2012,9,69000,95.5
2012,10,72000,52.0
2012,11,314310,202.5
2012,12,171510,140.5
2013,1,113000,43.0
2013,2,108925,27.0
2013,3,199510,45.5
2013,4,121000,230.5
2013,5,125000,361.5
2013,6,96000,116.5
2013,7,89000,218.0
2013,8,68000,792.5
2013,9,71000,112.0
2013,10,75000,132.5
2013,11,431720,38.5
2013,12,135080,140.5
2014,1,103000,10.5
2014,2,100705,171.5
2014,3,170500,134.0
2014,4,126550,76.5
2014,5,112980,539.0
2014,6,109300,309.0
2014,7,99650,152.5
2014,8,115600,134.5
2014,9,109500,119.0
2014,10,120400,51.5
2014,11,525772,26.5
2014,12,121700,59.5
2015,1,98370,18.5
2015,2,102600,57.5
2015,3,89550,163.5
2015,4,121730,72.0
2015,5,104255,233.0
2015,6,93340,88.0
2015,7,116545,262.5
2015,8,87130,539.0
2015,9,102310,274.0
2015,10,121610,57.0
2015,11,540820,8.5
2015,12,113750,38.0
2016,1,170784,214.5
2016,2,342850,52.5
2016,3,94350,225.5
2016,4,108055,15.5
2016,5,30750,4.5
2016,6,87740,1.0
2016,7,108775,0.0
2016,8,102610,0.0
2016,9,52800,9.5
2016,10,59940,2.0
2016,11,131575,3.5
2016,12,616011,0.0
2017,1,216828,1.0
2017,2,208100,1.0
2017,3,209719,4.5
2017,4,208927,56.0
2017,5,157575,206.0
2017,6,124840,686.0
2017,7,126797,117.0
2017,8,132630,41.5
2017,9,117610,18.0
2017,10,166287,179.5
2017,11,323587,101.0
2017,12,488364,33.0
2018,1,143171,245.0
2018,2,578983,92.5
2018,3,215449,29.0
2018,4,349367,65.0
2018,5,141021,39.5
2018,6,105290,47.5
2018,7,103030,215.5
2018,8,116805,238.0
2018,9,75227,233.0
2018,10,133995,79.0
2018,11,126339,39.5
2018,12,715807,41.5
2019,1,139202,36.5
2019,2,525045,56.5
2019,3,256043,162.0
2019,4,381400,102.5
2019,5,166076,311.5
2019,6,108956,399.5
2019,7,90077,322.5
2019,8,94659,227.5
2019,9,60445,377.0
2019,10,112863,11.5
2019,11,468831,5.0
2019,12,411415,111.0
2020,1,146491,33.5
2020,2,404081,30.0
2020,3,58466,157.5
2020,4,40687,53.5
2020,5,32224,332.5
2020,6,23615,71.0
2020,7,26305,129.0
2020,8,33413,511.5
2020,9,26896,114.0
2020,10,76343,4.5
2020,11,350827,11.0
2020,12,378892,77.0
2021,1,101987,23.0
2021,2,407032,49.5
2021,3,352623,91.5
2021,4,110612,49.5
2021,5,29471,128.5
2021,6,9553,267.0
2021,7,11801,425.0
2021,8,19613,270.5
2021,9,15698,90.5
2021,10,30449,157.0
2021,11,193675,42.0
2021,12,282279,34.0
2022,1,72236,92.5
2022,2,312150,178.0
2022,3,129800,166.0
2022,4,47100,68.0
2022,5,25831,453.0
2022,6,32269,234.5
2022,7,28581,80.0
2022,8,25503,93.5
2022,9,34569,254.5
2022,10,63339,277.5
2022,11,252707,108.0
2022,12,207083,38.5
2023,1,59497,13.0
2023,2,285034,33.0
2023,3,144350,19.5
2023,4,88389,95.5
2023,5,74474,174.5
2023,6,52744,327.5
2023,7,23613,164.0
2023,8,38917,398.0
2023,9,38243,61.0
2023,10,71758,58.5
2023,11,311826,12.0
2023,12,517551,68.5
2024,1,627379,25.0
2024,2,771583,29.5
2024,3,313424,95.0
2024,4,153204,163.5
2024,5,125394,109.0
2024,6,51584,134.5
2024,7,49201,237.0
2024,8,49288,158.0
2024,9,45484,369.5
2024,10,43404,230.0
2024,11,144114,20.0
2024,12,576418,14.5
