年份,月份,景點人數,月總雨量
2008,1,0,84.5
2008,2,0,140.5
2008,3,0,92.5
2008,4,0,142.0
2008,5,0,231.5
2008,6,0,328.5
2008,7,0,196.5
2008,8,0,103.0
2008,9,0,1190.0
2008,10,0,152.0
2008,11,0,307.5
2008,12,0,34.0
2009,1,0,52.5
2009,2,0,50.5
2009,3,0,142.0
2009,4,0,102.5
2009,5,0,8.0
2009,6,0,235.5
2009,7,0,149.0
2009,8,0,243.5
2009,9,0,286.5
2009,10,0,232.5
2009,11,0,99.5
2009,12,0,33.5
2010,1,0,83.0
2010,2,0,152.5
2010,3,0,36.5
2010,4,0,111.5
2010,5,0,167.5
2010,6,0,466.0
2010,7,0,51.0
2010,8,0,404.0
2010,9,0,292.5
2010,10,0,544.0
2010,11,0,95.5
2010,12,0,69.0
2011,1,0,75.0
2011,2,0,38.0
2011,3,0,71.5
2011,4,0,6.5
2011,5,0,219.5
2011,6,0,300.0
2011,7,0,61.0
2011,8,0,162.5
2011,9,0,43.5
2011,10,0,251.0
2011,11,0,209.0
2011,12,0,140.0
2012,1,0,104.5
2012,2,0,191.5
2012,3,0,55.0
2012,4,0,266.0
2012,5,0,225.0
2012,6,0,448.0
2012,7,0,81.0
2012,8,0,601.5
2012,9,0,182.5
2012,10,0,70.0
2012,11,0,197.0
2012,12,0,152.0
2013,1,0,72.0
2013,2,0,33.5
2013,3,0,57.5
2013,4,0,249.0
2013,5,0,376.5
2013,6,0,94.5
2013,7,0,155.5
2013,8,0,597.0
2013,9,0,202.0
2013,10,0,236.0
2013,11,0,74.0
2013,12,0,119.0
2014,1,0,12.5
2014,2,0,157.0
2014,3,0,73.0
2014,4,0,97.0
2014,5,0,517.0
2014,6,0,326.0
2014,7,0,110.5
2014,8,0,53.5
2014,9,0,21.5
2014,10,0,84.0
2014,11,0,82.0
2014,12,0,77.5
2015,1,0,28.0
2015,2,0,53.5
2015,3,0,164.0
2015,4,0,66.0
2015,5,0,241.5
2015,6,0,99.5
2015,7,0,301.0
2015,8,0,315.0
2015,9,0,72.5
2015,10,0,79.5
2015,11,0,31.5
2015,12,0,23.5
2016,1,0,199.0
2016,2,0,38.5
2016,3,0,221.5
2016,4,0,16.0
2016,5,0,5.0
2016,6,0,1.0
2016,7,0,0.5
2016,8,0,0.5
2016,9,0,12.5
2016,10,0,15.5
2016,11,0,3.5
2016,12,0,1.0
2017,1,0,0.0
2017,2,0,0.5
2017,3,0,4.5
2017,4,0,36.5
2017,5,0,194.5
2017,6,0,735.5
2017,7,0,136.5
2017,8,0,48.5
2017,9,0,193.0
2017,10,0,490.5
2017,11,0,168.0
2017,12,0,106.0
2018,1,0,304.0
2018,2,0,135.5
2018,3,0,31.0
2018,4,0,108.0
2018,5,0,40.0
2018,6,0,90.0
2018,7,0,184.0
2018,8,0,106.5
2018,9,0,475.5
2018,10,0,124.0
2018,11,0,59.0
2018,12,0,122.5
2019,1,35287,67.5
2019,2,37730,52.0
2019,3,34293,158.5
2019,4,47182,108.5
2019,5,40755,326.5
2019,6,50246,394.0
2019,7,52741,364.5
2019,8,43875,271.0
2019,9,51621,703.5
2019,10,80294,56.5
2019,11,78972,93.5
2019,12,56932,166.0
2020,1,64208,29.0
2020,2,74443,31.0
2020,3,32642,133.5
2020,4,34083,53.5
2020,5,37021,327.5
2020,6,52060,61.0
2020,7,45108,88.0
2020,8,48245,355.5
2020,9,28382,188.0
2020,10,47421,123.0
2020,11,48245,94.0
2020,12,26239,272.0
2021,1,40270,79.5
2021,2,49435,89.5
2021,3,37515,86.0
2021,4,45944,44.0
2021,5,22426,168.0
2021,6,827,267.5
2021,7,7735,403.5
2021,8,22205,238.5
2021,9,23454,134.0
2021,10,23454,180.0
2021,11,31184,49.25
2021,12,23673,73.5
2022,1,21729,100.0
2022,2,20132,197.0
2022,3,30926,130.0
2022,4,34801,91.0
2022,5,16189,446.5
2022,6,38108,221.5
2022,7,51806,96.5
2022,8,52038,113.0
2022,9,32706,595.5
2022,10,28482,701.5
2022,11,39082,169.0
2022,12,27559,151.0
2023,1,46019,32.0
2023,2,48374,57.5
2023,3,53412,25.5
2023,4,70576,98.0
2023,5,45131,178.5
2023,6,52482,321.5
2023,7,64993,76.0
2023,8,45604,415.5
2023,9,60239,117.0
2023,10,51394,177.5
2023,11,83412,31.5
2023,12,50656,94.0
2024,1,52885,35.0
2024,2,54299,28.5
2024,3,56170,120.0
2024,4,46006,156.0
2024,5,57321,128.5
2024,6,48851,179.25
2024,7,59796,122.5
2024,8,57214,204.0
2024,9,47362,472.0
2024,10,49351,609.0
2024,11,50616,111.0
2024,12,58532,24.0
