年份,月份,景點人數,月總雨量
2008,1,0,101.0
2008,2,0,148.0
2008,3,0,121.0
2008,4,0,102.0
2008,5,0,345.5
2008,6,0,455.5
2008,7,0,233.0
2008,8,0,189.0
2008,9,0,1231.5
2008,10,0,95.5
2008,11,0,200.5
2008,12,0,43.5
2009,1,0,76.0
2009,2,0,40.0
2009,3,0,188.0
2009,4,0,99.0
2009,5,0,20.0
2009,6,0,360.5
2009,7,0,176.5
2009,8,0,307.5
2009,9,0,204.5
2009,10,0,304.5
2009,11,0,57.5
2009,12,0,71.0
2010,1,0,98.5
2010,2,0,219.5
2010,3,0,33.0
2010,4,0,93.5
2010,5,0,174.0
2010,6,0,387.5
2010,7,0,218.5
2010,8,0,310.0
2010,9,0,167.5
2010,10,0,373.0
2010,11,0,82.0
2010,12,0,68.0
2011,1,0,91.5
2011,2,0,61.5
2011,3,0,114.5
2011,4,0,10.0
2011,5,0,225.5
2011,6,0,271.0
2011,7,0,203.5
2011,8,0,268.5
2011,9,0,83.5
2011,10,0,145.0
2011,11,0,221.0
2011,12,0,179.0
2012,1,0,164.5
2012,2,0,298.0
2012,3,0,91.5
2012,4,0,300.0
2012,5,0,211.0
2012,6,0,731.5
2012,7,0,215.5
2012,8,0,501.5
2012,9,0,118.5
2012,10,0,59.0
2012,11,0,215.5
2012,12,0,182.0
2013,1,0,102.5
2013,2,0,32.5
2013,3,0,34.5
2013,4,0,226.0
2013,5,0,362.5
2013,6,0,142.5
2013,7,0,270.5
2013,8,0,649.0
2013,9,0,276.0
2013,10,0,107.5
2013,11,0,59.5
2013,12,0,262.0
2014,1,0,24.5
2014,2,0,250.0
2014,3,0,121.5
2014,4,0,94.0
2014,5,0,642.5
2014,6,0,467.0
2014,7,0,284.0
2014,8,0,201.5
2014,9,0,208.0
2014,10,0,47.0
2014,11,0,69.5
2014,12,0,104.0
2015,1,0,21.0
2015,2,0,86.5
2015,3,0,184.0
2015,4,0,87.0
2015,5,0,330.0
2015,6,0,348.0
2015,7,0,211.0
2015,8,0,836.5
2015,9,0,379.5
2015,10,0,167.0
2015,11,0,25.0
2015,12,0,46.0
2016,1,0,247.0
2016,2,0,99.0
2016,3,0,283.5
2016,4,0,22.5
2016,5,0,7.0
2016,6,0,1.5
2016,7,0,2.5
2016,8,0,0.0
2016,9,0,13.5
2016,10,0,9.5
2016,11,0,2.5
2016,12,0,0.5
2017,1,0,1.5
2017,2,0,6.0
2017,3,0,5.5
2017,4,0,84.0
2017,5,0,139.0
2017,6,0,747.5
2017,7,0,241.5
2017,8,0,120.0
2017,9,0,220.5
2017,10,0,534.0
2017,11,0,106.0
2017,12,0,77.5
2018,1,0,244.5
2018,2,0,170.0
2018,3,0,36.0
2018,4,0,58.5
2018,5,0,58.5
2018,6,0,73.5
2018,7,0,165.0
2018,8,0,183.5
2018,9,0,277.5
2018,10,0,127.0
2018,11,0,66.0
2018,12,0,89.0
2019,1,487236,69.0
2019,2,694595,65.0
2019,3,482483,173.0
2019,4,608166,126.5
2019,5,614046,298.5
2019,6,521409,352.5
2019,7,548936,372.5
2019,8,573332,185.0
2019,9,461637,520.0
2019,10,563874,23.5
2019,11,583391,35.5
2019,12,631016,142.0
2020,1,595964,33.0
2020,2,488748,34.5
2020,3,377001,267.0
2020,4,482483,79.0
2020,5,334997,466.5
2020,6,344118,134.0
2020,7,500972,247.0
2020,8,563224,321.0
2020,9,433988,127.5
2020,10,480786,65.0
2020,11,502202,53.0
2020,12,490492,253.5
2021,1,537408,71.5
2021,2,489627,67.5
2021,3,510866,77.0
2021,4,513970,56.5
2021,5,255314,180.5
2021,6,90596,377.5
2021,7,123927,251.0
2021,8,233779,343.0
2021,9,270165,156.5
2021,10,373248,277.0
2021,11,418786,82.5
2021,12,464391,60.5
2022,1,429762,129.0
2022,2,373848,259.0
2022,3,511064,201.75
2022,4,389160,109.0
2022,5,277617,464.5
2022,6,359914,228.0
2022,7,516202,159.0
2022,8,574207,183.0
2022,9,473533,329.5
2022,10,421938,636.5
2022,11,515160,113.5
2022,12,488485,122.0
2023,1,510547,37.0
2023,2,1234147,43.0
2023,3,648929,25.0
2023,4,555930,95.5
2023,5,593886,218.5
2023,6,523969,277.0
2023,7,564095,114.0
2023,8,602340,340.0
2023,9,601754,164.0
2023,10,781456,165.5
2023,11,681376,35.0
2023,12,731483,93.0
2024,1,692948,55.0
2024,2,756598,44.5
2024,3,721385,115.0
2024,4,830679,189.5
2024,5,774260,111.5
2024,6,833506,346.5
2024,7,785348,224.0
2024,8,889709,183.0
2024,9,758653,355.0
2024,10,905019,694.0
2024,11,860861,76.5
2024,12,998550,29.0
