年份,月份,景點人數,月總雨量
2008,1,37804,71.5
2008,2,48515,112.5
2008,3,40274,98.0
2008,4,36266,131.0
2008,5,36872,226.0
2008,6,37574,286.5
2008,7,47053,192.0
2008,8,56461,102.5
2008,9,23765,1208.0
2008,10,35663,105.5
2008,11,29823,237.5
2008,12,37545,19.5
2009,1,48036,26.5
2009,2,35674,35.0
2009,3,26399,153.5
2009,4,32165,101.5
2009,5,35427,8.5
2009,6,30373,246.0
2009,7,65061,145.5
2009,8,52099,319.5
2009,9,32427,240.0
2009,10,33853,187.0
2009,11,35089,39.5
2009,12,42880,30.5
2010,1,45392,64.5
2010,2,50166,166.0
2010,3,34818,40.5
2010,4,33346,108.0
2010,5,35888,170.5
2010,6,32878,431.0
2010,7,45693,47.5
2010,8,46147,397.0
2010,9,26664,165.0
2010,10,30121,404.5
2010,11,29096,62.5
2010,12,40271,48.5
2011,1,32383,41.0
2011,2,53350,43.0
2011,3,29988,72.0
2011,4,35580,7.0
2011,5,28058,213.5
2011,6,34374,319.0
2011,7,50553,71.5
2011,8,47601,148.5
2011,9,34233,29.0
2011,10,30812,176.5
2011,11,26657,192.5
2011,12,36788,93.5
2012,1,43646,94.5
2012,2,32898,193.0
2012,3,25487,56.5
2012,4,27536,332.5
2012,5,25818,215.5
2012,6,29873,445.0
2012,7,38470,72.5
2012,8,32369,657.0
2012,9,22686,154.0
2012,10,24074,58.0
2012,11,21663,189.0
2012,12,33621,140.0
2013,1,24969,47.5
2013,2,36629,26.5
2013,3,24827,50.0
2013,4,22514,229.0
2013,5,24380,334.5
2013,6,30841,84.5
2013,7,33512,103.5
2013,8,36702,638.5
2013,9,23947,182.0
2013,10,25898,163.5
2013,11,26647,29.0
2013,12,31018,77.0
2014,1,30492,6.0
2014,2,34085,62.5
2014,3,23454,54.0
2014,4,24345,100.5
2014,5,24550,505.0
2014,6,28953,278.0
2014,7,31324,195.0
2014,8,36761,119.5
2014,9,22516,156.0
2014,10,27206,61.5
2014,11,25656,33.0
2014,12,29036,49.5
2015,1,31865,17.5
2015,2,37707,48.5
2015,3,23185,124.0
2015,4,23313,57.0
2015,5,22960,225.0
2015,6,28953,100.0
2015,7,28352,315.0
2015,8,29181,546.5
2015,9,21736,169.5
2015,10,27520,45.0
2015,11,24709,20.5
2015,12,30626,32.5
2016,1,27626,174.5
2016,2,31290,42.0
2016,3,20154,170.5
2016,4,19860,9.5
2016,5,21989,4.0
2016,6,23321,1.5
2016,7,41367,0.5
2016,8,33806,0.0
2016,9,19681,9.0
2016,10,24657,4.5
2016,11,22289,1.5
2016,12,31438,0.5
2017,1,33754,0.0
2017,2,28423,1.0
2017,3,17497,1.0
2017,4,20904,28.5
2017,5,21539,204.0
2017,6,15953,667.0
2017,7,25675,125.5
2017,8,26675,33.5
2017,9,16666,168.5
2017,10,21081,369.0
2017,11,17634,119.5
2017,12,27339,47.0
2018,1,22450,229.5
2018,2,23870,103.5
2018,3,19291,25.0
2018,4,20208,70.5
2018,5,17109,41.0
2018,6,17481,70.5
2018,7,18135,147.5
2018,8,20441,285.0
2018,9,14160,430.5
2018,10,19211,88.5
2018,11,17060,36.0
2018,12,24523,51.5
2019,1,20961,36.5
2019,2,23898,52.0
2019,3,17390,158.5
2019,4,17109,108.0
2019,5,16566,307.0
2019,6,17566,402.5
2019,7,19544,328.5
2019,8,21065,263.5
2019,9,13470,548.0
2019,10,19045,26.5
2019,11,17250,29.0
2019,12,21846,120.5
2020,1,20572,29.0
2020,2,11828,26.5
2020,3,6795,137.0
2020,4,4985,50.0
2020,5,8545,359.5
2020,6,10148,83.5
2020,7,12371,102.5
2020,8,16452,448.5
2020,9,10893,201.5
2020,10,16267,44.0
2020,11,10937,42.5
2020,12,12434,150.5
2021,1,10949,34.0
2021,2,13787,69.0
2021,3,9653,83.5
2021,4,10490,45.0
2021,5,3561,161.0
2021,6,0,278.5
2021,7,0,385.5
2021,8,5501,266.0
2021,9,5909,135.5
2021,10,9172,191.5
2021,11,8957,35.75
2021,12,11582,18.25
2022,1,8925,99.5
2022,2,10847,190.0
2022,3,8628,154.0
2022,4,7251,83.0
2022,5,4465,446.5
2022,6,7612,204.5
2022,7,11380,132.0
2022,8,13267,104.5
2022,9,8145,444.5
2022,10,9613,446.5
2022,11,10993,121.0
2022,12,15959,62.0
2023,1,19254,12.5
2023,2,15641,46.5
2023,3,11649,25.5
2023,4,15755,98.5
2023,5,12806,174.0
2023,6,14284,307.0
2023,7,17482,127.5
2023,8,15026,446.5
2023,9,10727,115.0
2023,10,13573,133.5
2023,11,12599,14.0
2023,12,17055,75.0
2024,1,13059,23.0
2024,2,14288,28.5
2024,3,10919,109.5
2024,4,10025,164.5
2024,5,10136,120.5
2024,6,10935,185.25
2024,7,12444,358.0
2024,8,13436,214.0
2024,9,9659,453.5
2024,10,9538,422.5
2024,11,30427,51.0
2024,12,19251,16.5
