年份,月份,景點人數,月總雨量
2008,1,0,72.0
2008,2,0,143.0
2008,3,0,116.0
2008,4,0,109.0
2008,5,0,232.5
2008,6,0,299.0
2008,7,0,254.0
2008,8,0,230.5
2008,9,0,925.5
2008,10,0,72.0
2008,11,0,135.5
2008,12,0,28.5
2009,1,0,25.5
2009,2,0,33.5
2009,3,0,175.0
2009,4,0,101.0
2009,5,0,17.0
2009,6,0,275.5
2009,7,0,56.0
2009,8,0,327.5
2009,9,0,193.0
2009,10,0,147.5
2009,11,0,38.0
2009,12,0,42.5
2010,1,0,80.5
2010,2,0,196.0
2010,3,0,52.0
2010,4,0,116.5
2010,5,0,153.5
2010,6,0,342.0
2010,7,0,25.5
2010,8,0,298.0
2010,9,0,108.5
2010,10,0,233.0
2010,11,0,60.0
2010,12,0,45.5
2011,1,29459,50.0
2011,2,35822,53.0
2011,3,21670,93.0
2011,4,22869,8.0
2011,5,29540,194.0
2011,6,22605,271.5
2011,7,24455,149.5
2011,8,24230,142.5
2011,9,30030,36.0
2011,10,30070,71.0
2011,11,60030,196.5
2011,12,69320,118.0
2012,1,71126,122.0
2012,2,38652,243.0
2012,3,41326,63.0
2012,4,36827,288.5
2012,5,34568,200.0
2012,6,32059,534.5
2012,7,33012,120.5
2012,8,31855,501.5
2012,9,32679,75.0
2012,10,29597,62.0
2012,11,31766,217.5
2012,12,34252,158.5
2013,1,43646,60.0
2013,2,74508,31.5
2013,3,43205,48.5
2013,4,38858,248.5
2013,5,40862,344.0
2013,6,34217,219.5
2013,7,36926,241.5
2013,8,33821,830.5
2013,9,34725,126.0
2013,10,32568,99.5
2013,11,33459,44.0
2013,12,32656,176.0
2014,1,47451,40.0
2014,2,46850,180.5
2014,3,45375,155.5
2014,4,41539,86.0
2014,5,42367,530.5
2014,6,40959,338.5
2014,7,41752,194.5
2014,8,37283,114.0
2014,9,38921,153.0
2014,10,37123,42.0
2014,11,35897,35.5
2014,12,34580,71.0
2015,1,45594,16.0
2015,2,47629,69.0
2015,3,46011,182.0
2015,4,43613,75.0
2015,5,42389,291.5
2015,6,41068,132.0
2015,7,41963,285.0
2015,8,36735,641.5
2015,9,39286,236.5
2015,10,39677,78.5
2015,11,38092,13.0
2015,12,36750,36.5
2016,1,44850,223.0
2016,2,46852,57.5
2016,3,44935,247.0
2016,4,43850,10.5
2016,5,39720,6.0
2016,6,36700,1.0
2016,7,32460,1.0
2016,8,31235,0.0
2016,9,32729,6.5
2016,10,35361,6.0
2016,11,34257,4.5
2016,12,33583,0.0
2017,1,43726,0.5
2017,2,38315,1.0
2017,3,38207,6.5
2017,4,32636,85.0
2017,5,38119,170.5
2017,6,33238,663.0
2017,7,30922,115.0
2017,8,33256,116.5
2017,9,31866,158.5
2017,10,36271,225.5
2017,11,36400,108.5
2017,12,35411,40.0
2018,1,38010,243.5
2018,2,49297,128.0
2018,3,43194,31.5
2018,4,40703,49.5
2018,5,34200,38.5
2018,6,36211,68.5
2018,7,29561,248.0
2018,8,29557,164.5
2018,9,32959,199.0
2018,10,35456,93.0
2018,11,35939,45.5
2018,12,34076,42.0
2019,1,36844,38.5
2019,2,48003,59.5
2019,3,36965,180.0
2019,4,38348,96.5
2019,5,40191,318.0
2019,6,30134,349.0
2019,7,34305,356.0
2019,8,33299,233.5
2019,9,36642,323.0
2019,10,39629,12.5
2019,11,38500,5.0
2019,12,32453,125.0
2020,1,46360,25.5
2020,2,29433,24.5
2020,3,19736,186.5
2020,4,19727,60.5
2020,5,18354,350.5
2020,6,18961,51.0
2020,7,18665,155.0
2020,8,25909,365.5
2020,9,23469,104.0
2020,10,27527,5.5
2020,11,22780,11.0
2020,12,18000,98.0
2021,1,27263,30.0
2021,2,36942,53.0
2021,3,25316,79.0
2021,4,29372,58.5
2021,5,11046,125.0
2021,6,0,282.0
2021,7,2606,331.5
2021,8,17640,359.5
2021,9,20357,129.5
2021,10,26797,201.5
2021,11,20085,63.5
2021,12,20566,33.75
2022,1,18968,104.0
2022,2,18037,210.5
2022,3,22865,167.5
2022,4,18147,81.0
2022,5,12423,489.0
2022,6,14871,228.0
2022,7,21369,81.5
2022,8,22130,118.0
2022,9,24887,216.5
2022,10,21131,352.5
2022,11,21274,125.5
2022,12,21800,51.5
2023,1,42329,13.5
2023,2,23814,33.5
2023,3,29162,21.5
2023,4,33325,101.5
2023,5,31114,170.5
2023,6,26721,345.0
2023,7,26436,121.0
2023,8,29186,361.25
2023,9,23725,66.0
2023,10,31908,70.0
2023,11,34592,15.0
2023,12,33659,83.0
2024,1,34677,28.5
2024,2,41994,36.0
2024,3,34578,98.0
2024,4,37078,177.0
2024,5,35044,114.5
2024,6,25971,151.25
2024,7,22731,268.0
2024,8,24723,242.0
2024,9,27026,381.0
2024,10,31097,229.5
2024,11,36936,35.5
2024,12,38276,16.0
