年份,月份,景點人數,月總雨量
2008,1,23574,79.5
2008,2,12610,142.5
2008,3,25908,70.0
2008,4,22331,156.5
2008,5,15845,247.5
2008,6,16703,224.0
2008,7,17142,267.5
2008,8,17245,14.5
2008,9,1860,1344.0
2008,10,8457,101.5
2008,11,10988,295.5
2008,12,14382,30.0
2009,1,10657,28.0
2009,2,10545,34.0
2009,3,9578,179.5
2009,4,8570,77.0
2009,5,11179,16.0
2009,6,7023,181.0
2009,7,10193,25.0
2009,8,10273,378.5
2009,9,6178,266.5
2009,10,10401,219.5
2009,11,12436,59.0
2009,12,9461,43.5
2010,1,8743,60.0
2010,2,6640,105.0
2010,3,10289,41.5
2010,4,15505,137.5
2010,5,17434,164.5
2010,6,14456,371.0
2010,7,21503,24.0
2010,8,19268,338.5
2010,9,12714,147.0
2010,10,15367,622.0
2010,11,19729,69.5
2010,12,21913,62.0
2011,1,15409,74.5
2011,2,14422,57.0
2011,3,17430,87.0
2011,4,14197,7.5
2011,5,10804,268.5
2011,6,8191,278.0
2011,7,12697,102.0
2011,8,11785,85.5
2011,9,8587,29.0
2011,10,20929,146.5
2011,11,29859,240.5
2011,12,37170,101.0
2012,1,22812,120.5
2012,2,25317,176.0
2012,3,26623,69.5
2012,4,33849,246.0
2012,5,24985,228.0
2012,6,15547,348.5
2012,7,28912,119.5
2012,8,27609,371.5
2012,9,27394,103.0
2012,10,36132,59.5
2012,11,33230,275.0
2012,12,37503,179.0
2013,1,23525,84.5
2013,2,10963,47.5
2013,3,20176,66.5
2013,4,17608,249.5
2013,5,20151,477.5
2013,6,21991,66.0
2013,7,21258,98.0
2013,8,20403,441.0
2013,9,18543,218.5
2013,10,23572,291.0
2013,11,23459,45.5
2013,12,29911,234.5
2014,1,21872,18.0
2014,2,18535,180.5
2014,3,21631,82.0
2014,4,19713,128.0
2014,5,23665,714.0
2014,6,21304,209.5
2014,7,22212,189.0
2014,8,23236,91.5
2014,9,11616,130.0
2014,10,25849,269.5
2014,11,20963,69.0
2014,12,16859,59.5
2015,1,28123,21.0
2015,2,22736,40.0
2015,3,14693,171.0
2015,4,20453,92.0
2015,5,18388,290.0
2015,6,17285,37.0
2015,7,20652,321.0
2015,8,20811,250.0
2015,9,21466,582.5
2015,10,52603,65.5
2015,11,40686,20.0
2015,12,42348,54.0
2016,1,40746,224.5
2016,2,39004,66.0
2016,3,29662,239.0
2016,4,29004,16.5
2016,5,33325,9.0
2016,6,30867,5.0
2016,7,40281,1.0
2016,8,45787,0.0
2016,9,36861,2.0
2016,10,51486,1.5
2016,11,45180,4.0
2016,12,52091,0.5
2017,1,31988,0.0
2017,2,38756,8.0
2017,3,36799,5.5
2017,4,56451,73.0
2017,5,38868,155.5
2017,6,34482,771.0
2017,7,37332,176.5
2017,8,41015,18.5
2017,9,31664,123.5
2017,10,50657,411.0
2017,11,45577,96.5
2017,12,49828,46.0
2018,1,35058,259.0
2018,2,32643,125.5
2018,3,30995,37.0
2018,4,33108,68.0
2018,5,35527,21.0
2018,6,27502,43.5
2018,7,44969,231.5
2018,8,54948,255.5
2018,9,44236,676.5
2018,10,40597,175.0
2018,11,40311,46.5
2018,12,32369,80.5
2019,1,23803,37.5
2019,2,8385,61.0
2019,3,5368,165.0
2019,4,0,100.0
2019,5,0,388.5
2019,6,0,413.5
2019,7,0,314.0
2019,8,29569,284.5
2019,9,34578,591.0
2019,10,46960,39.5
2019,11,53539,37.0
2019,12,36577,155.0
2020,1,20222,49.0
2020,2,19246,43.0
2020,3,13039,152.0
2020,4,8494,63.5
2020,5,10715,344.5
2020,6,16012,150.5
2020,7,24357,118.0
2020,8,38707,413.5
2020,9,27682,137.5
2020,10,23507,59.5
2020,11,20403,49.0
2020,12,18453,173.0
2021,1,16758,60.5
2021,2,9844,91.5
2021,3,15362,84.5
2021,4,15953,33.5
2021,5,6757,169.0
2021,6,0,190.0
2021,7,1355,567.0
2021,8,9905,191.0
2021,9,11749,168.0
2021,10,15740,248.5
2021,11,15351,40.75
2021,12,16697,53.5
2022,1,9461,108.0
2022,2,7439,232.0
2022,3,12102,176.5
2022,4,10106,68.0
2022,5,9294,506.0
2022,6,12947,192.0
2022,7,23271,125.5
2022,8,23605,37.0
2022,9,29365,675.0
2022,10,27720,625.5
2022,11,23137,155.0
2022,12,26718,105.0
2023,1,19940,31.0
2023,2,21745,52.5
2023,3,25985,28.5
2023,4,14999,102.5
2023,5,13508,194.0
2023,6,15287,125.0
2023,7,26548,93.0
2023,8,26836,387.5
2023,9,26638,116.5
2023,10,33366,223.0
2023,11,36210,16.5
2023,12,33761,83.0
2024,1,13632,40.5
2024,2,9887,47.5
2024,3,15231,151.0
2024,4,14587,156.5
2024,5,16540,70.5
2024,6,17482,123.75
2024,7,16163,234.0
2024,8,14433,45.0
2024,9,12744,433.5
2024,10,15423,577.5
2024,11,16421,54.5
2024,12,15290,21.0
