年份,月份,景點人數,月總雨量
2008,1,142051,72.0
2008,2,217568,143.0
2008,3,263434,116.0
2008,4,180657,109.0
2008,5,219339,232.5
2008,6,192350,299.0
2008,7,369164,254.0
2008,8,430281,230.5
2008,9,168466,925.5
2008,10,218415,72.0
2008,11,173693,135.5
2008,12,164788,28.5
2009,1,407253,25.5
2009,2,501647,33.5
2009,3,383026,175.0
2009,4,513701,101.0
2009,5,241496,17.0
2009,6,235456,275.5
2009,7,610225,56.0
2009,8,354702,327.5
2009,9,335127,193.0
2009,10,329670,147.5
2009,11,306957,38.0
2009,12,472033,42.5
2010,1,367941,80.5
2010,2,615570,196.0
2010,3,400785,52.0
2010,4,324598,116.5
2010,5,349816,153.5
2010,6,181105,342.0
2010,7,219525,25.5
2010,8,468135,298.0
2010,9,243843,108.5
2010,10,669637,233.0
2010,11,364774,60.0
2010,12,620857,45.5
2011,1,606135,50.0
2011,2,639926,53.0
2011,3,621761,93.0
2011,4,384281,8.0
2011,5,340480,194.0
2011,6,735881,271.5
2011,7,486620,149.5
2011,8,628330,142.5
2011,9,557201,36.0
2011,10,241869,71.0
2011,11,224896,196.5
2011,12,446401,118.0
2012,1,459234,122.0
2012,2,446564,243.0
2012,3,473544,63.0
2012,4,502759,288.5
2012,5,527102,200.0
2012,6,594956,534.5
2012,7,684388,120.5
2012,8,632525,501.5
2012,9,607064,75.0
2012,10,552112,62.0
2012,11,518065,217.5
2012,12,544333,158.5
2013,1,457299,60.0
2013,2,505442,31.5
2013,3,558320,48.5
2013,4,547418,248.5
2013,5,543462,344.0
2013,6,519881,219.5
2013,7,506791,241.5
2013,8,561403,830.5
2013,9,464775,126.0
2013,10,559038,99.5
2013,11,532798,44.0
2013,12,551110,176.0
2014,1,540788,40.0
2014,2,649659,180.5
2014,3,673607,155.5
2014,4,550088,86.0
2014,5,578263,530.5
2014,6,495607,338.5
2014,7,533840,194.5
2014,8,556757,114.0
2014,9,488149,153.0
2014,10,574091,42.0
2014,11,524034,35.5
2014,12,462278,71.0
2015,1,485208,16.0
2015,2,636861,69.0
2015,3,707343,182.0
2015,4,665662,75.0
2015,5,602923,291.5
2015,6,548336,132.0
2015,7,613380,285.0
2015,8,646732,641.5
2015,9,499644,236.5
2015,10,596648,78.5
2015,11,536294,13.0
2015,12,553473,36.5
2016,1,600493,223.0
2016,2,699497,57.5
2016,3,648097,247.0
2016,4,604085,10.5
2016,5,540800,6.0
2016,6,511811,1.0
2016,7,595274,1.0
2016,8,610035,0.0
2016,9,543699,6.5
2016,10,564492,6.0
2016,11,477708,4.5
2016,12,557680,0.0
2017,1,562680,0.5
2017,2,535708,1.0
2017,3,373013,6.5
2017,4,355138,85.0
2017,5,305886,170.5
2017,6,291125,663.0
2017,7,343171,115.0
2017,8,389121,116.5
2017,9,310153,158.5
2017,10,357509,225.5
2017,11,314068,108.5
2017,12,356081,40.0
2018,1,349272,243.5
2018,2,326354,128.0
2018,3,369781,31.5
2018,4,336144,49.5
2018,5,314019,38.5
2018,6,291154,68.5
2018,7,406947,248.0
2018,8,439344,164.5
2018,9,370477,199.0
2018,10,420237,93.0
2018,11,378069,45.5
2018,12,417284,42.0
2019,1,447921,38.5
2019,2,465276,59.5
2019,3,522040,180.0
2019,4,505600,96.5
2019,5,458051,318.0
2019,6,394512,349.0
2019,7,414638,356.0
2019,8,434332,233.5
2019,9,302383,323.0
2019,10,450003,12.5
2019,11,363845,5.0
2019,12,449397,125.0
2020,1,452759,25.5
2020,2,285731,24.5
2020,3,160903,186.5
2020,4,54841,60.5
2020,5,25793,350.5
2020,6,37880,51.0
2020,7,63637,155.0
2020,8,82463,365.5
2020,9,65733,104.0
2020,10,128770,5.5
2020,11,82098,11.0
2020,12,136514,98.0
2021,1,91022,30.0
2021,2,105286,53.0
2021,3,97380,79.0
2021,4,80154,58.5
2021,5,26775,125.0
2021,6,0,282.0
2021,7,2394,331.5
2021,8,14278,359.5
2021,9,21844,129.5
2021,10,96276,201.5
2021,11,46815,63.5
2021,12,164122,33.75
2022,1,83407,104.0
2022,2,88740,210.5
2022,3,139416,167.5
2022,4,86644,81.0
2022,5,24019,489.0
2022,6,42034,228.0
2022,7,59787,81.5
2022,8,61834,118.0
2022,9,60790,216.5
2022,10,102145,352.5
2022,11,112666,125.5
2022,12,237818,51.5
2023,1,233048,13.5
2023,2,224709,33.5
2023,3,222270,21.5
2023,4,241564,101.5
2023,5,249988,170.5
2023,6,206362,345.0
2023,7,268828,121.0
2023,8,232845,361.25
2023,9,237208,66.0
2023,10,299892,70.0
2023,11,280477,15.0
2023,12,505186,83.0
2024,1,327460,28.5
2024,2,358783,36.0
2024,3,410702,98.0
2024,4,326151,177.0
2024,5,302868,114.5
2024,6,224237,151.25
2024,7,263552,268.0
2024,8,303687,242.0
2024,9,274833,381.0
2024,10,313376,229.5
2024,11,363433,35.5
2024,12,571482,16.0
