年份,月份,景點人數,月總雨量
2008,1,29400,79.5
2008,2,13800,142.5
2008,3,45000,70.0
2008,4,47600,156.5
2008,5,51200,247.5
2008,6,41100,224.0
2008,7,50630,267.5
2008,8,91500,14.5
2008,9,39100,1344.0
2008,10,61500,101.5
2008,11,37020,295.5
2008,12,42700,30.0
2009,1,37816,28.0
2009,2,37520,34.0
2009,3,16118,179.5
2009,4,16071,77.0
2009,5,55137,16.0
2009,6,45369,181.0
2009,7,59247,25.0
2009,8,54858,378.5
2009,9,47036,266.5
2009,10,18227,219.5
2009,11,22892,59.0
2009,12,25355,43.5
2010,1,22621,60.0
2010,2,25946,105.0
2010,3,34869,41.5
2010,4,17715,137.5
2010,5,30077,164.5
2010,6,36656,371.0
2010,7,64104,24.0
2010,8,61588,338.5
2010,9,38031,147.0
2010,10,28425,622.0
2010,11,15156,69.5
2010,12,23331,62.0
2011,1,12023,74.5
2011,2,47883,57.0
2011,3,29168,87.0
2011,4,40864,7.5
2011,5,34597,268.5
2011,6,46285,278.0
2011,7,58672,102.0
2011,8,44622,85.5
2011,9,40317,29.0
2011,10,30278,146.5
2011,11,16270,240.5
2011,12,9959,101.0
2012,1,17047,120.5
2012,2,29079,176.0
2012,3,38558,69.5
2012,4,34332,246.0
2012,5,43906,228.0
2012,6,42586,348.5
2012,7,63721,119.5
2012,8,41881,371.5
2012,9,51743,103.0
2012,10,38214,59.5
2012,11,27467,275.0
2012,12,27306,179.0
2013,1,23629,84.5
2013,2,41333,47.5
2013,3,60660,66.5
2013,4,30168,249.5
2013,5,44126,477.5
2013,6,122164,66.0
2013,7,101522,98.0
2013,8,100871,441.0
2013,9,49849,218.5
2013,10,47142,291.0
2013,11,52135,45.5
2013,12,22932,234.5
2014,1,54121,18.0
2014,2,54357,180.5
2014,3,45513,82.0
2014,4,55373,128.0
2014,5,48226,714.0
2014,6,66879,209.5
2014,7,88481,189.0
2014,8,101473,91.5
2014,9,52891,130.0
2014,10,43251,269.5
2014,11,38686,69.0
2014,12,18582,59.5
2015,1,48282,21.0
2015,2,38345,40.0
2015,3,35079,171.0
2015,4,51847,92.0
2015,5,56146,290.0
2015,6,83547,37.0
2015,7,83321,321.0
2015,8,43999,250.0
2015,9,62871,582.5
2015,10,52824,65.5
2015,11,69359,20.0
2015,12,41803,54.0
2016,1,46979,224.5
2016,2,67055,66.0
2016,3,39456,239.0
2016,4,78602,16.5
2016,5,81236,9.0
2016,6,99711,5.0
2016,7,109117,1.0
2016,8,85946,0.0
2016,9,50983,2.0
2016,10,73936,1.5
2016,11,71715,4.0
2016,12,61641,0.5
2017,1,58882,0.0
2017,2,40053,8.0
2017,3,44729,5.5
2017,4,85110,73.0
2017,5,71767,155.5
2017,6,43532,771.0
2017,7,89058,176.5
2017,8,77931,18.5
2017,9,62141,123.5
2017,10,36427,411.0
2017,11,15855,96.5
2017,12,31852,46.0
2018,1,30588,259.0
2018,2,52168,125.5
2018,3,33536,37.0
2018,4,47707,68.0
2018,5,65776,21.0
2018,6,83168,43.5
2018,7,88858,231.5
2018,8,89094,255.5
2018,9,64101,676.5
2018,10,65939,175.0
2018,11,60155,46.5
2018,12,45507,80.5
2019,1,28853,37.5
2019,2,76943,61.0
2019,3,48256,165.0
2019,4,58579,100.0
2019,5,51847,388.5
2019,6,45953,413.5
2019,7,80894,314.0
2019,8,53030,284.5
2019,9,31455,591.0
2019,10,47110,39.5
2019,11,38052,37.0
2019,12,7643,155.0
2020,1,10671,49.0
2020,2,34546,43.0
2020,3,51122,152.0
2020,4,41056,63.5
2020,5,39395,344.5
2020,6,53302,150.5
2020,7,50177,118.0
2020,8,49548,413.5
2020,9,33624,137.5
2020,10,34116,59.5
2020,11,27592,49.0
2020,12,21340,173.0
2021,1,40652,60.5
2021,2,31452,91.5
2021,3,33538,84.5
2021,4,40628,33.5
2021,5,24208,169.0
2021,6,2302,190.0
2021,7,32925,567.0
2021,8,33581,191.0
2021,9,50740,168.0
2021,10,36813,248.5
2021,11,26333,40.75
2021,12,21219,53.5
2022,1,18989,108.0
2022,2,12510,232.0
2022,3,31139,176.5
2022,4,38302,68.0
2022,5,23947,506.0
2022,6,36476,192.0
2022,7,49299,125.5
2022,8,42514,37.0
2022,9,26437,675.0
2022,10,23972,625.5
2022,11,22245,155.0
2022,12,17453,105.0
2023,1,25656,31.0
2023,2,23525,52.5
2023,3,31820,28.5
2023,4,29894,102.5
2023,5,27478,194.0
2023,6,30600,125.0
2023,7,38307,93.0
2023,8,32373,387.5
2023,9,36888,116.5
2023,10,26564,223.0
2023,11,25144,16.5
2023,12,25071,83.0
2024,1,81743,40.5
2024,2,32314,47.5
2024,3,24831,151.0
2024,4,23518,156.5
2024,5,22152,70.5
2024,6,28271,123.75
2024,7,26533,234.0
2024,8,26325,45.0
2024,9,24059,433.5
2024,10,18739,577.5
2024,11,18173,54.5
2024,12,19543,21.0
