年份,月份,景點人數,月總雨量
2008,1,0,84.5
2008,2,0,140.5
2008,3,0,92.5
2008,4,0,142.0
2008,5,0,231.5
2008,6,0,328.5
2008,7,0,196.5
2008,8,0,103.0
2008,9,0,1190.0
2008,10,0,152.0
2008,11,0,307.5
2008,12,0,34.0
2009,1,0,52.5
2009,2,0,50.5
2009,3,0,142.0
2009,4,0,102.5
2009,5,0,8.0
2009,6,0,235.5
2009,7,0,149.0
2009,8,0,243.5
2009,9,0,286.5
2009,10,0,232.5
2009,11,0,99.5
2009,12,0,33.5
2010,1,0,83.0
2010,2,0,152.5
2010,3,0,36.5
2010,4,0,111.5
2010,5,0,167.5
2010,6,0,466.0
2010,7,0,51.0
2010,8,0,404.0
2010,9,0,292.5
2010,10,0,544.0
2010,11,0,95.5
2010,12,0,69.0
2011,1,0,75.0
2011,2,0,38.0
2011,3,0,71.5
2011,4,0,6.5
2011,5,0,219.5
2011,6,0,300.0
2011,7,0,61.0
2011,8,0,162.5
2011,9,0,43.5
2011,10,0,251.0
2011,11,0,209.0
2011,12,0,140.0
2012,1,0,104.5
2012,2,0,191.5
2012,3,0,55.0
2012,4,0,266.0
2012,5,0,225.0
2012,6,0,448.0
2012,7,0,81.0
2012,8,0,601.5
2012,9,0,182.5
2012,10,0,70.0
2012,11,0,197.0
2012,12,0,152.0
2013,1,0,72.0
2013,2,0,33.5
2013,3,0,57.5
2013,4,0,249.0
2013,5,0,376.5
2013,6,0,94.5
2013,7,0,155.5
2013,8,0,597.0
2013,9,0,202.0
2013,10,0,236.0
2013,11,0,74.0
2013,12,0,119.0
2014,1,0,12.5
2014,2,0,157.0
2014,3,0,73.0
2014,4,0,97.0
2014,5,0,517.0
2014,6,0,326.0
2014,7,0,110.5
2014,8,0,53.5
2014,9,0,21.5
2014,10,0,84.0
2014,11,0,82.0
2014,12,0,77.5
2015,1,0,28.0
2015,2,0,53.5
2015,3,0,164.0
2015,4,0,66.0
2015,5,0,241.5
2015,6,0,99.5
2015,7,0,301.0
2015,8,0,315.0
2015,9,0,72.5
2015,10,0,79.5
2015,11,0,31.5
2015,12,0,23.5
2016,1,0,199.0
2016,2,0,38.5
2016,3,0,221.5
2016,4,0,16.0
2016,5,0,5.0
2016,6,0,1.0
2016,7,0,0.5
2016,8,0,0.5
2016,9,0,12.5
2016,10,0,15.5
2016,11,0,3.5
2016,12,0,1.0
2017,1,0,0.0
2017,2,0,0.5
2017,3,0,4.5
2017,4,0,36.5
2017,5,0,194.5
2017,6,0,735.5
2017,7,0,136.5
2017,8,0,48.5
2017,9,0,193.0
2017,10,0,490.5
2017,11,0,168.0
2017,12,0,106.0
2018,1,17641,304.0
2018,2,21699,135.5
2018,3,29817,31.0
2018,4,25413,108.0
2018,5,20626,40.0
2018,6,19731,90.0
2018,7,15999,184.0
2018,8,12420,106.5
2018,9,13011,475.5
2018,10,14624,124.0
2018,11,23712,59.0
2018,12,14592,122.5
2019,1,14390,67.5
2019,2,26510,52.0
2019,3,22346,158.5
2019,4,18220,108.5
2019,5,18955,326.5
2019,6,8863,394.0
2019,7,16241,364.5
2019,8,12800,271.0
2019,9,13238,703.5
2019,10,17677,56.5
2019,11,18576,93.5
2019,12,18787,166.0
2020,1,22899,29.0
2020,2,29229,31.0
2020,3,25656,133.5
2020,4,14781,53.5
2020,5,21475,327.5
2020,6,18011,61.0
2020,7,14923,88.0
2020,8,9908,355.5
2020,9,12431,188.0
2020,10,23920,123.0
2020,11,20569,94.0
2020,12,20802,272.0
2021,1,30704,79.5
2021,2,38904,89.5
2021,3,25191,86.0
2021,4,25938,44.0
2021,5,14611,168.0
2021,6,8818,267.5
2021,7,0,403.5
2021,8,15891,238.5
2021,9,15691,134.0
2021,10,22741,180.0
2021,11,17005,49.25
2021,12,19508,73.5
2022,1,19449,100.0
2022,2,25282,197.0
2022,3,25444,130.0
2022,4,19362,91.0
2022,5,12326,446.5
2022,6,13315,221.5
2022,7,14727,96.5
2022,8,14893,113.0
2022,9,13182,595.5
2022,10,12558,701.5
2022,11,16280,169.0
2022,12,12785,151.0
2023,1,23836,32.0
2023,2,24125,57.5
2023,3,19906,25.5
2023,4,23417,98.0
2023,5,18988,178.5
2023,6,12266,321.5
2023,7,12110,76.0
2023,8,9233,415.5
2023,9,10258,117.0
2023,10,12684,177.5
2023,11,15403,31.5
2023,12,28354,94.0
2024,1,17424,35.0
2024,2,28382,28.5
2024,3,20187,120.0
2024,4,14081,156.0
2024,5,15197,128.5
2024,6,10907,179.25
2024,7,0,122.5
2024,8,0,204.0
2024,9,0,472.0
2024,10,0,609.0
2024,11,0,111.0
2024,12,0,24.0
