年份,月份,景點人數,月總雨量
2008,1,0,136.5
2008,2,0,165.5
2008,3,0,132.0
2008,4,0,203.0
2008,5,0,303.0
2008,6,0,276.5
2008,7,0,222.0
2008,8,0,98.5
2008,9,0,1089.0
2008,10,0,83.0
2008,11,0,139.0
2008,12,0,19.0
2009,1,0,21.0
2009,2,0,36.0
2009,3,0,178.0
2009,4,0,108.5
2009,5,0,10.5
2009,6,0,254.5
2009,7,0,5.0
2009,8,0,8.5
2009,9,0,199.5
2009,10,0,134.5
2009,11,0,29.5
2009,12,0,34.5
2010,1,0,76.0
2010,2,0,178.5
2010,3,0,44.0
2010,4,0,104.5
2010,5,0,166.5
2010,6,0,333.0
2010,7,0,26.0
2010,8,0,294.0
2010,9,0,95.5
2010,10,0,198.0
2010,11,0,35.0
2010,12,0,38.0
2011,1,0,41.0
2011,2,0,46.5
2011,3,0,75.5
2011,4,0,8.0
2011,5,0,161.0
2011,6,0,249.0
2011,7,0,72.5
2011,8,0,83.0
2011,9,0,17.0
2011,10,0,71.0
2011,11,0,164.5
2011,12,0,89.5
2012,1,0,101.0
2012,2,0,200.0
2012,3,0,63.5
2012,4,0,340.0
2012,5,0,220.5
2012,6,0,498.5
2012,7,0,65.5
2012,8,0,482.5
2012,9,0,95.5
2012,10,0,52.0
2012,11,0,202.5
2012,12,0,140.5
2013,1,0,43.0
2013,2,0,27.0
2013,3,0,45.5
2013,4,0,230.5
2013,5,0,361.5
2013,6,0,116.5
2013,7,0,218.0
2013,8,0,792.5
2013,9,0,112.0
2013,10,0,132.5
2013,11,0,38.5
2013,12,0,140.5
2014,1,0,10.5
2014,2,0,171.5
2014,3,0,134.0
2014,4,0,76.5
2014,5,0,539.0
2014,6,0,309.0
2014,7,0,152.5
2014,8,0,134.5
2014,9,0,119.0
2014,10,0,51.5
2014,11,0,26.5
2014,12,0,59.5
2015,1,0,18.5
2015,2,0,57.5
2015,3,0,163.5
2015,4,0,72.0
2015,5,0,233.0
2015,6,0,88.0
2015,7,0,262.5
2015,8,0,539.0
2015,9,0,274.0
2015,10,0,57.0
2015,11,0,8.5
2015,12,0,38.0
2016,1,0,214.5
2016,2,0,52.5
2016,3,0,225.5
2016,4,0,15.5
2016,5,0,4.5
2016,6,0,1.0
2016,7,0,0.0
2016,8,0,0.0
2016,9,0,9.5
2016,10,0,2.0
2016,11,0,3.5
2016,12,0,0.0
2017,1,206880,1.0
2017,2,221263,1.0
2017,3,129467,4.5
2017,4,226994,56.0
2017,5,181771,206.0
2017,6,100985,686.0
2017,7,211972,117.0
2017,8,242799,41.5
2017,9,113898,18.0
2017,10,160784,179.5
2017,11,131350,101.0
2017,12,172422,33.0
2018,1,147262,245.0
2018,2,202301,92.5
2018,3,159282,29.0
2018,4,229796,65.0
2018,5,138925,39.5
2018,6,149938,47.5
2018,7,225838,215.5
2018,8,223009,238.0
2018,9,124169,233.0
2018,10,160701,79.0
2018,11,141012,39.5
2018,12,177221,41.5
2019,1,179866,36.5
2019,2,203017,56.5
2019,3,157292,162.0
2019,4,209965,102.5
2019,5,113278,311.5
2019,6,141815,399.5
2019,7,205950,322.5
2019,8,226728,227.5
2019,9,102294,377.0
2019,10,183178,11.5
2019,11,151861,5.0
2019,12,177170,111.0
2020,1,179279,33.5
2020,2,129155,30.0
2020,3,41216,157.5
2020,4,38305,53.5
2020,5,68711,332.5
2020,6,146954,71.0
2020,7,202612,129.0
2020,8,220331,511.5
2020,9,75443,114.0
2020,10,160552,4.5
2020,11,113242,11.0
2020,12,83933,77.0
2021,1,113812,23.0
2021,2,157701,49.5
2021,3,104157,91.5
2021,4,156444,49.5
2021,5,39592,128.5
2021,6,0,267.0
2021,7,0,425.0
2021,8,42933,270.5
2021,9,36838,90.5
2021,10,70285,157.0
2021,11,86657,42.0
2021,12,102330,34.0
2022,1,64911,92.5
2022,2,105323,178.0
2022,3,102509,166.0
2022,4,62184,68.0
2022,5,21089,453.0
2022,6,57707,234.5
2022,7,173043,80.0
2022,8,212998,93.5
2022,9,72424,254.5
2022,10,144611,277.5
2022,11,125396,108.0
2022,12,124447,38.5
2023,1,235364,13.0
2023,2,190689,33.0
2023,3,122575,19.5
2023,4,209907,95.5
2023,5,111142,174.5
2023,6,132822,327.5
2023,7,207548,164.0
2023,8,219898,398.0
2023,9,106843,61.0
2023,10,149349,58.5
2023,11,119951,12.0
2023,12,175030,68.5
2024,1,164597,25.0
2024,2,240331,29.5
2024,3,137054,95.0
2024,4,183238,163.5
2024,5,129451,109.0
2024,6,135328,134.5
2024,7,207787,237.0
2024,8,262261,158.0
2024,9,78570,369.5
2024,10,139023,230.0
2024,11,144385,20.0
2024,12,155617,14.5
