年份,月份,景點人數,月總雨量
2008,1,229871,101.0
2008,2,249551,148.0
2008,3,338256,121.0
2008,4,351773,102.0
2008,5,266783,345.5
2008,6,170505,455.5
2008,7,283629,233.0
2008,8,407900,189.0
2008,9,146748,1231.5
2008,10,339742,95.5
2008,11,283639,200.5
2008,12,216615,43.5
2009,1,355279,76.0
2009,2,489892,40.0
2009,3,327771,188.0
2009,4,344955,99.0
2009,5,380203,20.0
2009,6,182559,360.5
2009,7,361162,176.5
2009,8,311473,307.5
2009,9,166081,204.5
2009,10,249256,304.5
2009,11,276300,57.5
2009,12,228593,71.0
2010,1,280706,98.5
2010,2,305535,219.5
2010,3,251090,33.0
2010,4,251432,93.5
2010,5,214339,174.0
2010,6,164531,387.5
2010,7,228341,218.5
2010,8,247598,310.0
2010,9,176133,167.5
2010,10,215794,373.0
2010,11,233295,82.0
2010,12,239316,68.0
2011,1,119409,91.5
2011,2,384944,61.5
2011,3,181091,114.5
2011,4,295974,10.0
2011,5,164146,225.5
2011,6,152629,271.0
2011,7,266873,203.5
2011,8,221908,268.5
2011,9,207728,83.5
2011,10,271944,145.0
2011,11,258375,221.0
2011,12,185699,179.0
2012,1,302517,164.5
2012,2,209193,298.0
2012,3,260382,91.5
2012,4,297866,300.0
2012,5,201743,211.0
2012,6,177687,731.5
2012,7,233244,215.5
2012,8,233618,501.5
2012,9,213465,118.5
2012,10,333388,59.0
2012,11,258939,215.5
2012,12,245192,182.0
2013,1,223547,102.5
2013,2,443432,32.5
2013,3,279716,34.5
2013,4,220043,226.0
2013,5,184707,362.5
2013,6,198782,142.5
2013,7,248647,270.5
2013,8,274368,649.0
2013,9,232015,276.0
2013,10,341164,107.5
2013,11,343537,59.5
2013,12,232701,262.0
2014,1,530134,24.5
2014,2,579043,250.0
2014,3,396284,121.5
2014,4,420678,94.0
2014,5,271865,642.5
2014,6,250283,467.0
2014,7,287686,284.0
2014,8,338089,201.5
2014,9,213101,208.0
2014,10,387232,47.0
2014,11,329910,69.5
2014,12,217720,104.0
2015,1,358036,21.0
2015,2,412814,86.5
2015,3,246511,184.0
2015,4,285591,87.0
2015,5,210910,330.0
2015,6,158868,348.0
2015,7,233074,211.0
2015,8,210647,836.5
2015,9,233082,379.5
2015,10,334176,167.0
2015,11,360836,25.0
2015,12,258103,46.0
2016,1,231720,247.0
2016,2,401490,99.0
2016,3,212224,283.5
2016,4,323488,22.5
2016,5,230546,7.0
2016,6,187452,1.5
2016,7,223921,2.5
2016,8,262136,0.0
2016,9,201511,13.5
2016,10,313289,9.5
2016,11,310698,2.5
2016,12,337589,0.5
2017,1,344903,1.5
2017,2,295856,6.0
2017,3,225943,5.5
2017,4,366508,84.0
2017,5,263218,139.0
2017,6,132481,747.5
2017,7,199448,241.5
2017,8,217607,120.0
2017,9,174479,220.5
2017,10,289777,534.0
2017,11,250807,106.0
2017,12,286927,77.5
2018,1,247859,244.5
2018,2,320457,170.0
2018,3,328524,36.0
2018,4,365104,58.5
2018,5,219881,58.5
2018,6,195516,73.5
2018,7,259374,165.0
2018,8,236031,183.5
2018,9,193774,277.5
2018,10,302296,127.0
2018,11,290945,66.0
2018,12,292697,89.0
2019,1,244659,69.0
2019,2,362155,65.0
2019,3,298585,173.0
2019,4,321794,126.5
2019,5,216501,298.5
2019,6,151763,352.5
2019,7,294727,372.5
2019,8,306063,185.0
2019,9,201374,520.0
2019,10,382891,23.5
2019,11,345189,35.5
2019,12,308949,142.0
2020,1,292747,33.0
2020,2,223683,34.5
2020,3,129839,267.0
2020,4,109072,79.0
2020,5,134707,466.5
2020,6,135606,134.0
2020,7,185815,247.0
2020,8,233016,321.0
2020,9,150249,127.5
2020,10,297361,65.0
2020,11,239111,53.0
2020,12,174917,253.5
2021,1,218062,71.5
2021,2,292531,67.5
2021,3,202395,77.0
2021,4,262885,56.5
2021,5,74900,180.5
2021,6,0,377.5
2021,7,0,251.0
2021,8,90490,343.0
2021,9,78107,156.5
2021,10,143080,277.0
2021,11,203732,82.5
2021,12,206571,60.5
2022,1,139117,129.0
2022,2,181925,259.0
2022,3,208918,201.75
2022,4,131425,109.0
2022,5,70134,464.5
2022,6,69530,228.0
2022,7,178160,159.0
2022,8,176746,183.0
2022,9,134202,329.5
2022,10,166228,636.5
2022,11,255469,113.5
2022,12,198490,122.0
2023,1,359202,37.0
2023,2,296503,43.0
2023,3,257003,25.0
2023,4,348355,95.5
2023,5,194447,218.5
2023,6,137238,277.0
2023,7,206118,114.0
2023,8,220185,340.0
2023,9,159179,164.0
2023,10,269414,165.5
2023,11,253494,35.0
2023,12,333739,93.0
2024,1,216743,55.0
2024,2,321728,44.5
2024,3,284373,115.0
2024,4,247970,189.5
2024,5,192804,111.5
2024,6,118424,346.5
2024,7,168803,224.0
2024,8,211940,183.0
2024,9,139665,355.0
2024,10,231897,694.0
2024,11,233421,76.5
2024,12,257206,29.0
