年份,月份,景點人數,月總雨量
2008,1,45601,136.5
2008,2,33782,165.5
2008,3,61000,132.0
2008,4,49992,203.0
2008,5,51242,303.0
2008,6,25730,276.5
2008,7,63246,222.0
2008,8,72460,98.5
2008,9,48469,1089.0
2008,10,53794,83.0
2008,11,62196,139.0
2008,12,49125,19.0
2009,1,42187,21.0
2009,2,34596,36.0
2009,3,63952,178.0
2009,4,60563,108.5
2009,5,51165,10.5
2009,6,29899,254.5
2009,7,95136,5.0
2009,8,82316,8.5
2009,9,37784,199.5
2009,10,48262,134.5
2009,11,51993,29.5
2009,12,52753,34.5
2010,1,38672,76.0
2010,2,39373,178.5
2010,3,48690,44.0
2010,4,50723,104.5
2010,5,43524,166.5
2010,6,28814,333.0
2010,7,72242,26.0
2010,8,84430,294.0
2010,9,61755,95.5
2010,10,49307,198.0
2010,11,51651,35.0
2010,12,47650,38.0
2011,1,27151,41.0
2011,2,34706,46.5
2011,3,58181,75.5
2011,4,94848,8.0
2011,5,54034,161.0
2011,6,36705,249.0
2011,7,97982,72.5
2011,8,96091,83.0
2011,9,59247,17.0
2011,10,55991,71.0
2011,11,66375,164.5
2011,12,55873,89.5
2012,1,34874,101.0
2012,2,45116,200.0
2012,3,48289,63.5
2012,4,62191,340.0
2012,5,59885,220.5
2012,6,42014,498.5
2012,7,74641,65.5
2012,8,85991,482.5
2012,9,61457,95.5
2012,10,48734,52.0
2012,11,61984,202.5
2012,12,63858,140.5
2013,1,37131,43.0
2013,2,34535,27.0
2013,3,46629,45.5
2013,4,63816,230.5
2013,5,50076,361.5
2013,6,43603,116.5
2013,7,78299,218.0
2013,8,88123,792.5
2013,9,59834,112.0
2013,10,48239,132.5
2013,11,54538,38.5
2013,12,53374,140.5
2014,1,28884,10.5
2014,2,34346,171.5
2014,3,49361,134.0
2014,4,79927,76.5
2014,5,44494,539.0
2014,6,44175,309.0
2014,7,79982,152.5
2014,8,92422,134.5
2014,9,57600,119.0
2014,10,65269,51.5
2014,11,53060,26.5
2014,12,50162,59.5
2015,1,51461,18.5
2015,2,52927,57.5
2015,3,44921,163.5
2015,4,41849,72.0
2015,5,40201,233.0
2015,6,30017,88.0
2015,7,45596,262.5
2015,8,53513,539.0
2015,9,37716,274.0
2015,10,44757,57.0
2015,11,39778,8.5
2015,12,41784,38.0
2016,1,28075,214.5
2016,2,28519,52.5
2016,3,40994,225.5
2016,4,44502,15.5
2016,5,34482,4.5
2016,6,27234,1.0
2016,7,42535,0.0
2016,8,46594,0.0
2016,9,33750,9.5
2016,10,32180,2.0
2016,11,39500,3.5
2016,12,41163,0.0
2017,1,34722,1.0
2017,2,41336,1.0
2017,3,51339,4.5
2017,4,54151,56.0
2017,5,38541,206.0
2017,6,30716,686.0
2017,7,63541,117.0
2017,8,81772,41.5
2017,9,52149,18.0
2017,10,58381,179.5
2017,11,44315,101.0
2017,12,51477,33.0
2018,1,41274,245.0
2018,2,56436,92.5
2018,3,88474,29.0
2018,4,75015,65.0
2018,5,63142,39.5
2018,6,56182,47.5
2018,7,100667,215.5
2018,8,118119,238.0
2018,9,88066,233.0
2018,10,51323,79.0
2018,11,51090,39.5
2018,12,56324,41.5
2019,1,46631,36.5
2019,2,54953,56.5
2019,3,94230,162.0
2019,4,81411,102.5
2019,5,57611,311.5
2019,6,57474,399.5
2019,7,106838,322.5
2019,8,112152,227.5
2019,9,81632,377.0
2019,10,77255,11.5
2019,11,51425,5.0
2019,12,57874,111.0
2020,1,46608,33.5
2020,2,26497,30.0
2020,3,15290,157.5
2020,4,10652,53.5
2020,5,36339,332.5
2020,6,80345,71.0
2020,7,87576,129.0
2020,8,87540,511.5
2020,9,60693,114.0
2020,10,67394,4.5
2020,11,49490,11.0
2020,12,49912,77.0
2021,1,42440,23.0
2021,2,42754,49.5
2021,3,52853,91.5
2021,4,63111,49.5
2021,5,15545,128.5
2021,6,0,267.0
2021,7,0,425.0
2021,8,13740,270.5
2021,9,16134,90.5
2021,10,41673,157.0
2021,11,50453,42.0
2021,12,51118,34.0
2022,1,22734,92.5
2022,2,46084,178.0
2022,3,52713,166.0
2022,4,29826,68.0
2022,5,13964,453.0
2022,6,29796,234.5
2022,7,90796,80.0
2022,8,93098,93.5
2022,9,62859,254.5
2022,10,93291,277.5
2022,11,58975,108.0
2022,12,77454,38.5
2023,1,67956,13.0
2023,2,68139,33.0
2023,3,59784,19.5
2023,4,86487,95.5
2023,5,63859,174.5
2023,6,75457,327.5
2023,7,129397,164.0
2023,8,155236,398.0
2023,9,110048,61.0
2023,10,101767,58.5
2023,11,87516,12.0
2023,12,92777,68.5
2024,1,67094,25.0
2024,2,72821,29.5
2024,3,89553,95.0
2024,4,101018,163.5
2024,5,92721,109.0
2024,6,99169,134.5
2024,7,125693,237.0
2024,8,158801,158.0
2024,9,97689,369.5
2024,10,71637,230.0
2024,11,82722,20.0
2024,12,97575,14.5
