年份,月份,景點人數,月總雨量
2008,1,21960,79.5
2008,2,18950,142.5
2008,3,38340,70.0
2008,4,56460,156.5
2008,5,20050,247.5
2008,6,19360,224.0
2008,7,23050,267.5
2008,8,30450,14.5
2008,9,13990,1344.0
2008,10,25630,101.5
2008,11,25440,295.5
2008,12,20610,30.0
2009,1,20780,28.0
2009,2,23282,34.0
2009,3,40105,179.5
2009,4,44561,77.0
2009,5,20040,16.0
2009,6,14837,181.0
2009,7,19696,25.0
2009,8,15064,378.5
2009,9,16001,266.5
2009,10,15544,219.5
2009,11,19698,59.0
2009,12,16735,43.5
2010,1,23865,60.0
2010,2,24039,105.0
2010,3,50032,41.5
2010,4,51152,137.5
2010,5,21435,164.5
2010,6,16589,371.0
2010,7,23928,24.0
2010,8,23634,338.5
2010,9,10567,147.0
2010,10,11765,622.0
2010,11,10563,69.5
2010,12,14680,62.0
2011,1,9532,74.5
2011,2,18446,57.0
2011,3,30114,87.0
2011,4,68562,7.5
2011,5,13596,268.5
2011,6,13681,278.0
2011,7,17685,102.0
2011,8,13186,85.5
2011,9,13331,29.0
2011,10,17781,146.5
2011,11,12589,240.5
2011,12,12963,101.0
2012,1,21201,120.5
2012,2,22134,176.0
2012,3,62447,69.5
2012,4,64691,246.0
2012,5,16243,228.0
2012,6,15811,348.5
2012,7,15787,119.5
2012,8,16963,371.5
2012,9,16176,103.0
2012,10,18951,59.5
2012,11,18136,275.0
2012,12,19135,179.0
2013,1,21683,84.5
2013,2,38987,47.5
2013,3,45769,66.5
2013,4,66359,249.5
2013,5,16353,477.5
2013,6,20637,66.0
2013,7,15077,98.0
2013,8,19399,441.0
2013,9,17461,218.5
2013,10,18297,291.0
2013,11,23211,45.5
2013,12,17523,234.5
2014,1,22199,18.0
2014,2,24641,180.5
2014,3,51141,82.0
2014,4,101997,128.0
2014,5,18584,714.0
2014,6,17464,209.5
2014,7,14582,189.0
2014,8,18688,91.5
2014,9,21145,130.0
2014,10,23386,269.5
2014,11,20045,69.0
2014,12,20972,59.5
2015,1,24821,21.0
2015,2,31373,40.0
2015,3,72394,171.0
2015,4,123415,92.0
2015,5,24013,290.0
2015,6,20029,37.0
2015,7,19881,321.0
2015,8,15954,250.0
2015,9,19603,582.5
2015,10,21715,65.5
2015,11,23252,20.0
2015,12,21160,54.0
2016,1,25045,224.5
2016,2,35712,66.0
2016,3,75162,239.0
2016,4,108251,16.5
2016,5,16529,9.0
2016,6,12384,5.0
2016,7,12809,1.0
2016,8,14441,0.0
2016,9,13501,2.0
2016,10,17269,1.5
2016,11,26449,4.0
2016,12,34432,0.5
2017,1,43762,0.0
2017,2,32503,8.0
2017,3,104623,5.5
2017,4,119830,73.0
2017,5,39363,155.5
2017,6,18100,771.0
2017,7,20722,176.5
2017,8,23993,18.5
2017,9,26402,123.5
2017,10,30456,411.0
2017,11,25771,96.5
2017,12,29014,46.0
2018,1,27405,259.0
2018,2,45304,125.5
2018,3,59814,37.0
2018,4,160759,68.0
2018,5,29675,21.0
2018,6,23714,43.5
2018,7,22649,231.5
2018,8,22851,255.5
2018,9,22109,676.5
2018,10,21424,175.0
2018,11,28537,46.5
2018,12,33115,80.5
2019,1,27659,37.5
2019,2,53265,61.0
2019,3,131849,165.0
2019,4,133843,100.0
2019,5,43516,388.5
2019,6,82158,413.5
2019,7,44290,314.0
2019,8,41467,284.5
2019,9,51423,591.0
2019,10,33778,39.5
2019,11,34252,37.0
2019,12,36266,155.0
2020,1,44468,49.0
2020,2,35513,43.0
2020,3,73930,152.0
2020,4,41460,63.5
2020,5,29453,344.5
2020,6,28932,150.5
2020,7,25854,118.0
2020,8,28364,413.5
2020,9,33624,137.5
2020,10,45372,59.5
2020,11,35417,49.0
2020,12,32719,173.0
2021,1,49719,60.5
2021,2,48486,91.5
2021,3,115274,84.5
2021,4,120591,33.5
2021,5,18098,169.0
2021,6,2951,190.0
2021,7,4898,567.0
2021,8,18330,191.0
2021,9,26895,168.0
2021,10,38354,248.5
2021,11,42257,40.75
2021,12,34452,53.5
2022,1,37981,108.0
2022,2,60868,232.0
2022,3,134428,176.5
2022,4,126255,68.0
2022,5,22051,506.0
2022,6,20289,192.0
2022,7,22630,125.5
2022,8,22804,37.0
2022,9,25921,675.0
2022,10,26214,625.5
2022,11,23908,155.0
2022,12,28361,105.0
2023,1,35270,31.0
2023,2,22790,52.5
2023,3,66420,28.5
2023,4,89902,102.5
2023,5,25115,194.0
2023,6,23723,125.0
2023,7,26655,93.0
2023,8,20117,387.5
2023,9,12910,116.5
2023,10,19133,223.0
2023,11,17687,16.5
2023,12,22641,83.0
2024,1,27904,40.5
2024,2,36694,47.5
2024,3,33227,151.0
2024,4,35721,156.5
2024,5,21458,70.5
2024,6,23278,123.75
2024,7,15541,234.0
2024,8,21277,45.0
2024,9,19218,433.5
2024,10,19673,577.5
2024,11,28424,54.5
2024,12,29772,21.0
